num of racks affected,num of nodes affected,Occurance,probability
1,1,317659.0,0.9158925121817605
1,2,9991.0,0.02880661995790445
1,3,2050.0,0.005910676700400773
1,4,782.0,0.0022547069169333678
1,5,401.0,0.0011561860277369317
1,6,244.0,0.0007035146901940432
1,7,165.0,0.0004757373929590866
1,8,120.0,0.00034599083124297204
1,9,92.0,0.0002652596372862786
1,10,73.0,0.000210477755672808
1,11,60.0,0.00017299541562148602
1,12,51.0,0.00014704610327826313
1,13,44.0,0.00012686330478908975
1,14,38.0,0.00010956376322694115
1,15,34.0,9.803073551884209e-05
1,16,30.0,8.649770781074301e-05
1,17,27.0,7.784793702966872e-05
1,18,25.0,7.208142317561918e-05
1,19,23.0,6.631490932156965e-05
1,20,21.0,6.054839546752011e-05
1,21,19.0,5.478188161347058e-05
1,22,18.0,5.189862468644581e-05
1,23,17.0,4.9015367759421044e-05
1,24,16.0,4.613211083239628e-05
1,25,15.0,4.3248853905371505e-05
1,26,14.0,4.036559697834674e-05
1,27,14.0,4.036559697834674e-05
1,28,13.0,3.748234005132197e-05
1,29,12.0,3.4599083124297205e-05
1,30,12.0,3.4599083124297205e-05
1,31,11.0,3.171582619727244e-05
1,32,11.0,3.171582619727244e-05
1,33,10.0,2.8832569270247672e-05
1,34,10.0,2.8832569270247672e-05
1,35,10.0,2.8832569270247672e-05
1,36,9.0,2.5949312343222905e-05
1,37,9.0,2.5949312343222905e-05
1,38,9.0,2.5949312343222905e-05
1,39,9.0,2.5949312343222905e-05
1,40,8.0,2.306605541619814e-05
1,41,8.0,2.306605541619814e-05
1,42,8.0,2.306605541619814e-05
1,43,8.0,2.306605541619814e-05
1,44,7.0,2.018279848917337e-05
1,45,7.0,2.018279848917337e-05
1,46,7.0,2.018279848917337e-05
1,47,7.0,2.018279848917337e-05
1,48,7.0,2.018279848917337e-05
1,49,7.0,2.018279848917337e-05
1,50,7.0,2.018279848917337e-05
2,1,0.0,0.0
2,2,6598.0,0.019023729204509413
2,3,1459.0,0.004206671856529135
2,4,582.0,0.0016780555315284145
2,5,308.0,0.0008880431335236283
2,6,191.0,0.0005507020730617305
2,7,132.0,0.00038058991436726926
2,8,97.0,0.0002796759219214024
2,9,75.0,0.00021624426952685755
2,10,61.0,0.0001758786725485108
2,11,50.0,0.00014416284635123837
2,12,43.0,0.000123980047862065
2,13,37.0,0.00010668050629991638
2,14,32.0,9.226422166479256e-05
2,15,29.0,8.361445088371825e-05
2,16,26.0,7.496468010264394e-05
