model,failure_time,failure,app,r_5,n_5,r_183,n_183,r_184,n_184,r_187,n_187,r_195,n_195,r_197,n_197,r_199,n_199,r_program,n_program,r_erase,n_erase,n_blocks,n_wearout,r_241,n_241,r_242,n_242,r_9,n_9,r_12,n_12,r_174,n_174,n_175,disk_id,node_id,rack_id,machine_room_id,diff,burst_glob_id
C1,2018-11-22 10:09:55,1,DAE,51.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7922.0,100.0,14.0,100.0,7.0,100.0,,402,405,11234,475,-1.0,22
C1,2018-11-22 10:13:07,1,DAE,54.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7922.0,100.0,14.0,100.0,7.0,100.0,,397,405,11234,475,192.0,22
B3,2018-05-24 21:22:45,1,WSM,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,67192000190.0,99.0,77453177725.0,99.0,9780.0,98.0,22.0,99.0,,,,150,417,7144,261,-1.0,24
B3,2018-05-24 21:22:47,1,WSM,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,67155601721.0,99.0,74018844892.0,99.0,9780.0,98.0,22.0,99.0,,,,149,417,7144,261,2.0,24
B3,2018-05-24 21:22:50,1,WSM,4.0,99.0,4.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,67399488677.0,99.0,70504498578.0,99.0,9780.0,98.0,22.0,99.0,,,,156,417,7144,261,3.0,24
A1,2018-06-28 14:47:53,1,WS,0.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,5866.0,100.0,0.0,100.0,0.0,100.0,100.0,96.0,1225862.0,100.0,943634.0,100.0,27971.0,100.0,24.0,100.0,16.0,100.0,100.0,569,535,14521,80,-1.0,33
A1,2018-06-28 15:10:38,1,WS,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,570.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,159000.0,100.0,16685.0,100.0,30757.0,100.0,14.0,100.0,12.0,100.0,100.0,571,535,14521,80,1365.0,33
A1,2018-06-28 15:35:32,1,WS,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,531.0,100.0,0.0,100.0,0.0,100.0,100.0,98.0,437060.0,100.0,290784.0,100.0,28068.0,100.0,29.0,100.0,23.0,100.0,100.0,572,535,14521,80,1494.0,33
C1,2018-11-22 10:16:35,1,DAE,19.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7335.0,100.0,28.0,100.0,23.0,100.0,,839,876,27852,475,18718184.0,64
C1,2018-11-22 10:18:35,1,DAE,16.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7335.0,100.0,28.0,100.0,23.0,100.0,,845,876,27852,475,120.00000000000001,64
