diskId,failTime
4887,523
15060,1040
3309,1587
10144,2143
6990,2669
3525,3210
3291,3705
14009,4170
11972,4664
2385,5163
8033,5671
2223,6209
6655,6729
15097,7249
7567,7812
10288,8351
11830,8911
9018,9441
13483,9999
7222,10522
10864,11097
9236,11657
16031,12210
12149,12710
10295,13238
1227,13769
14654,14289
4763,14811
7705,15325
6472,15861
16196,16369
3471,16875
15728,17392
2180,17962
15076,18514
13324,19033
5809,19539
4465,20054
14405,20574
7736,21122
10483,21614
15908,22162
9547,22686
7378,23210
4738,23758
4441,24284
14922,24830
15651,25376
13633,25923
1125,26484
3800,27000
6014,27537
6435,28078
1815,28616
11402,29171
4358,29687
11195,30189
10718,30724
9693,31245
3670,31777
5712,32302
13164,32847
4424,33419
9286,33934
7520,34504
7154,35041
10257,35554
11599,36062
10652,36613
4613,37159
12505,37690
4718,38231
6551,38784
23,39289
10342,39821
5198,40339
7648,40883
13348,41441
8457,41956
13945,42501
2894,43041
8925,43593
13261,44148
8933,44718
4756,45271
12499,45755
11430,46270
5570,46797
11672,47326
918,47801
12954,48282
8362,48802
9556,49335
3735,49884
6333,50440
14184,51000
2650,51504
7825,52033
1205,52542
14547,53081
2183,53637
10408,54132
11179,54643
5528,55171
10741,55695
361,56215
6746,56785
2823,57329
1156,57858
16033,58388
16181,58938
13748,59468
6615,59996
5827,60500
4891,61032
4324,61550
11304,62083
689,62647
15461,63182
680,63703
14108,64188
9285,64693
5285,65214
6914,65709
773,66226
12102,66763
2040,67240
12081,67760
6345,68263
13829,68802
14758,69304
15368,69829
226,70360
14456,70889
5011,71386
4598,71891
4714,72441
2146,72943
13010,73449
10101,73965
15146,74503
12609,75096
10856,75629
11358,76122
14557,76591
1124,77103
3820,77649
1702,78186
4250,78706
7079,79235
15129,79733
1964,80273
8611,80784
2050,81280
2600,81812
4606,82358
6084,82894
9242,83444
11913,83970
4257,84465
4081,85002
12235,85515
737,86071
13614,86630
