config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(4+1)(4+1) 400 1 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 2 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 3 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 4 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 5 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 6 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 7 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 8 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 9 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 10 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 11 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 12 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 13 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 14 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 15 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 16 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 17 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 18 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 19 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 20 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 2 2 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 3 2 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 4 2 0.0011 2.959 0.131 11 10000.0 notadapt
(4+1)(4+1) 400 5 2 0.0047 2.328 0.063 47 10000.0 notadapt
(4+1)(4+1) 400 6 2 0.0118 1.928 0.04 118 10000.0 notadapt
(4+1)(4+1) 400 7 2 0.0211 1.676 0.03 211 10000.0 notadapt
(4+1)(4+1) 400 8 2 0.0376 1.425 0.022 376 10000.0 notadapt
(4+1)(4+1) 400 9 2 0.0651 1.186 0.017 651 10000.0 notadapt
(4+1)(4+1) 400 10 2 0.0886 1.053 0.015 886 10000.0 notadapt
(4+1)(4+1) 400 11 2 0.12 0.921 0.013 1200 10000.0 notadapt
(4+1)(4+1) 400 12 2 0.1435 0.843 0.011 1435 10000.0 notadapt
(4+1)(4+1) 400 13 2 0.163 0.788 0.011 1630 10000.0 notadapt
(4+1)(4+1) 400 14 2 0.1909 0.719 0.01 1909 10000.0 notadapt
(4+1)(4+1) 400 15 2 0.1977 0.704 0.01 1977 10000.0 notadapt
(4+1)(4+1) 400 16 2 0.2067 0.685 0.01 2067 10000.0 notadapt
(4+1)(4+1) 400 17 2 0.209 0.68 0.009 2090 10000.0 notadapt
(4+1)(4+1) 400 18 2 0.2118 0.674 0.009 2118 10000.0 notadapt
(4+1)(4+1) 400 19 2 0.2084 0.681 0.01 2084 10000.0 notadapt
(4+1)(4+1) 400 20 2 0.2096 0.679 0.009 2096 10000.0 notadapt
(4+1)(4+1) 400 3 3 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 4 3 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 5 3 0.0018 2.745 0.102 18 10000.0 notadapt
(4+1)(4+1) 400 6 3 0.0064 2.194 0.054 64 10000.0 notadapt
(4+1)(4+1) 400 7 3 0.0125 1.903 0.039 125 10000.0 notadapt
(4+1)(4+1) 400 8 3 0.027 1.569 0.026 270 10000.0 notadapt
(4+1)(4+1) 400 9 3 0.0408 1.389 0.022 408 10000.0 notadapt
(4+1)(4+1) 400 10 3 0.0622 1.206 0.017 622 10000.0 notadapt
(4+1)(4+1) 400 11 3 0.1045 0.981 0.013 1045 10000.0 notadapt
(4+1)(4+1) 400 12 3 0.1326 0.877 0.012 1326 10000.0 notadapt
(4+1)(4+1) 400 13 3 0.1736 0.76 0.01 1736 10000.0 notadapt
(4+1)(4+1) 400 14 3 0.2134 0.671 0.009 2134 10000.0 notadapt
(4+1)(4+1) 400 15 3 0.2583 0.588 0.009 2583 10000.0 notadapt
(4+1)(4+1) 400 16 3 0.2976 0.526 0.008 2976 10000.0 notadapt
(4+1)(4+1) 400 17 3 0.3388 0.47 0.007 3388 10000.0 notadapt
(4+1)(4+1) 400 18 3 0.3778 0.423 0.007 3778 10000.0 notadapt
(4+1)(4+1) 400 19 3 0.4273 0.369 0.007 4273 10000.0 notadapt
(4+1)(4+1) 400 20 3 0.4597 0.338 0.006 4597 10000.0 notadapt
(4+1)(4+1) 400 4 4 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 5 4 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 6 4 0.0014 2.854 0.116 14 10000.0 notadapt
(4+1)(4+1) 400 7 4 0.0048 2.319 0.063 48 10000.0 notadapt
(4+1)(4+1) 400 8 4 0.0147 1.833 0.036 147 10000.0 notadapt
(4+1)(4+1) 400 9 4 0.025 1.602 0.027 250 10000.0 notadapt
(4+1)(4+1) 400 10 4 0.0432 1.365 0.021 432 10000.0 notadapt
(4+1)(4+1) 400 11 4 0.0618 1.209 0.017 618 10000.0 notadapt
(4+1)(4+1) 400 12 4 0.0953 1.021 0.014 953 10000.0 notadapt
(4+1)(4+1) 400 13 4 0.1292 0.889 0.012 1292 10000.0 notadapt
(4+1)(4+1) 400 14 4 0.1649 0.783 0.011 1649 10000.0 notadapt
(4+1)(4+1) 400 15 4 0.2048 0.689 0.01 2048 10000.0 notadapt
(4+1)(4+1) 400 16 4 0.2557 0.592 0.009 2557 10000.0 notadapt
(4+1)(4+1) 400 17 4 0.3112 0.507 0.008 3112 10000.0 notadapt
(4+1)(4+1) 400 18 4 0.3626 0.441 0.007 3626 10000.0 notadapt
(4+1)(4+1) 400 19 4 0.4215 0.375 0.007 4215 10000.0 notadapt
(4+1)(4+1) 400 20 4 0.4654 0.332 0.006 4654 10000.0 notadapt
(4+1)(4+1) 400 5 5 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 6 5 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 7 5 0.0014 2.854 0.116 14 10000.0 notadapt
(4+1)(4+1) 400 8 5 0.0058 2.237 0.057 58 10000.0 notadapt
(4+1)(4+1) 400 9 5 0.0162 1.79 0.034 162 10000.0 notadapt
(4+1)(4+1) 400 10 5 0.0241 1.618 0.028 241 10000.0 notadapt
(4+1)(4+1) 400 11 5 0.0368 1.434 0.023 368 10000.0 notadapt
(4+1)(4+1) 400 12 5 0.0638 1.195 0.017 638 10000.0 notadapt
(4+1)(4+1) 400 13 5 0.0938 1.028 0.014 938 10000.0 notadapt
(4+1)(4+1) 400 14 5 0.1228 0.911 0.012 1228 10000.0 notadapt
(4+1)(4+1) 400 15 5 0.1642 0.785 0.011 1642 10000.0 notadapt
(4+1)(4+1) 400 16 5 0.2083 0.681 0.01 2083 10000.0 notadapt
(4+1)(4+1) 400 17 5 0.2415 0.617 0.009 2415 10000.0 notadapt
(4+1)(4+1) 400 18 5 0.3033 0.518 0.008 3033 10000.0 notadapt
(4+1)(4+1) 400 19 5 0.3448 0.462 0.007 3448 10000.0 notadapt
(4+1)(4+1) 400 20 5 0.4093 0.388 0.007 4093 10000.0 notadapt
(4+1)(4+1) 400 6 6 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 7 6 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 8 6 0.0016 2.796 0.109 16 10000.0 notadapt
(4+1)(4+1) 400 9 6 0.007 2.155 0.052 70 10000.0 notadapt
(4+1)(4+1) 400 10 6 0.0149 1.827 0.036 149 10000.0 notadapt
(4+1)(4+1) 400 11 6 0.0253 1.597 0.027 253 10000.0 notadapt
(4+1)(4+1) 400 12 6 0.0411 1.386 0.021 411 10000.0 notadapt
(4+1)(4+1) 400 13 6 0.0627 1.203 0.017 627 10000.0 notadapt
(4+1)(4+1) 400 14 6 0.0861 1.065 0.015 861 10000.0 notadapt
(4+1)(4+1) 400 15 6 0.1163 0.934 0.013 1163 10000.0 notadapt
(4+1)(4+1) 400 16 6 0.1561 0.807 0.011 1561 10000.0 notadapt
(4+1)(4+1) 400 17 6 0.2041 0.69 0.01 2041 10000.0 notadapt
(4+1)(4+1) 400 18 6 0.2378 0.624 0.009 2378 10000.0 notadapt
(4+1)(4+1) 400 19 6 0.3003 0.522 0.008 3003 10000.0 notadapt
(4+1)(4+1) 400 20 6 0.341 0.467 0.007 3410 10000.0 notadapt
(4+1)(4+1) 400 7 7 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 8 7 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 9 7 0.0019 2.721 0.1 19 10000.0 notadapt
(4+1)(4+1) 400 10 7 0.0074 2.131 0.05 74 10000.0 notadapt
(4+1)(4+1) 400 11 7 0.0131 1.883 0.038 131 10000.0 notadapt
(4+1)(4+1) 400 12 7 0.0242 1.616 0.028 242 10000.0 notadapt
(4+1)(4+1) 400 13 7 0.0435 1.362 0.021 435 10000.0 notadapt
(4+1)(4+1) 400 14 7 0.0598 1.223 0.018 598 10000.0 notadapt
(4+1)(4+1) 400 15 7 0.0919 1.037 0.014 919 10000.0 notadapt
(4+1)(4+1) 400 16 7 0.1153 0.938 0.013 1153 10000.0 notadapt
(4+1)(4+1) 400 17 7 0.1521 0.818 0.011 1521 10000.0 notadapt
(4+1)(4+1) 400 18 7 0.1975 0.704 0.01 1975 10000.0 notadapt
(4+1)(4+1) 400 19 7 0.2287 0.641 0.009 2287 10000.0 notadapt
(4+1)(4+1) 400 20 7 0.2856 0.544 0.008 2856 10000.0 notadapt
(4+1)(4+1) 400 8 8 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 9 8 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 10 8 0.0019 2.721 0.1 19 10000.0 notadapt
(4+1)(4+1) 400 11 8 0.0074 2.131 0.05 74 10000.0 notadapt
(4+1)(4+1) 400 12 8 0.0154 1.812 0.035 154 10000.0 notadapt
(4+1)(4+1) 400 13 8 0.0251 1.6 0.027 251 10000.0 notadapt
(4+1)(4+1) 400 14 8 0.04 1.398 0.022 400 10000.0 notadapt
(4+1)(4+1) 400 15 8 0.0633 1.199 0.017 633 10000.0 notadapt
(4+1)(4+1) 400 16 8 0.0845 1.073 0.015 845 10000.0 notadapt
(4+1)(4+1) 400 17 8 0.1109 0.955 0.013 1109 10000.0 notadapt
(4+1)(4+1) 400 18 8 0.1417 0.849 0.012 1417 10000.0 notadapt
(4+1)(4+1) 400 19 8 0.1876 0.727 0.01 1876 10000.0 notadapt
(4+1)(4+1) 400 20 8 0.228 0.642 0.009 2280 10000.0 notadapt
(4+1)(4+1) 400 9 9 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 10 9 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 11 9 0.0018 2.745 0.102 18 10000.0 notadapt
(4+1)(4+1) 400 12 9 0.0061 2.215 0.056 61 10000.0 notadapt
(4+1)(4+1) 400 13 9 0.0139 1.857 0.037 139 10000.0 notadapt
(4+1)(4+1) 400 14 9 0.0244 1.613 0.028 244 10000.0 notadapt
(4+1)(4+1) 400 15 9 0.0392 1.407 0.022 392 10000.0 notadapt
(4+1)(4+1) 400 16 9 0.0557 1.254 0.018 557 10000.0 notadapt
(4+1)(4+1) 400 17 9 0.0879 1.056 0.015 879 10000.0 notadapt
(4+1)(4+1) 400 18 9 0.108 0.967 0.013 1080 10000.0 notadapt
(4+1)(4+1) 400 19 9 0.1434 0.843 0.011 1434 10000.0 notadapt
(4+1)(4+1) 400 20 9 0.1741 0.759 0.01 1741 10000.0 notadapt
(4+1)(4+1) 400 10 10 0.0 0 0 0 10000.0 notadapt
