config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(8+2)(8+2) 400 1 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 2 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 3 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 4 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 5 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 6 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 7 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 8 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 9 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 10 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 11 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 12 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 13 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 14 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 15 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 16 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 17 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 18 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 19 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 20 1 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 2 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 3 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 4 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 5 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 6 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 7 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 8 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 9 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 10 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 11 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 12 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 13 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 14 2 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 15 2 0.0 0 0 0 10000.0 notadapt
