config total_drives failed_disks affected_racks dl_prob
(1+0)(8+2) 32000 1 1 0
(1+0)(8+2) 32000 2 1 0
(1+0)(8+2) 32000 2 2 0
(1+0)(8+2) 32000 3 1 0.01557
(1+0)(8+2) 32000 3 2 0
(1+0)(8+2) 32000 3 3 0
(1+0)(8+2) 32000 4 1 0.05465
(1+0)(8+2) 32000 4 2 0.00842
(1+0)(8+2) 32000 4 3 0
(1+0)(8+2) 32000 4 4 0
(1+0)(8+2) 32000 5 1 0.12576
(1+0)(8+2) 32000 5 2 0.02951
(1+0)(8+2) 32000 5 3 0.00661
(1+0)(8+2) 32000 5 4 0
(1+0)(8+2) 32000 5 5 0
(1+0)(8+2) 32000 6 1 0.22658
(1+0)(8+2) 32000 6 2 0.06042
(1+0)(8+2) 32000 6 3 0.02002
(1+0)(8+2) 32000 6 4 0.00472
(1+0)(8+2) 32000 6 5 0
(1+0)(8+2) 32000 6 6 0
(1+0)(8+2) 32000 7 1 0.35417
(1+0)(8+2) 32000 7 2 0.10521
(1+0)(8+2) 32000 7 3 0.04044
(1+0)(8+2) 32000 7 4 0.01454
(1+0)(8+2) 32000 7 5 0.00365
(1+0)(8+2) 32000 7 6 0
(1+0)(8+2) 32000 7 7 0
(1+0)(8+2) 32000 8 1 0.49483
(1+0)(8+2) 32000 8 2 0.16402
(1+0)(8+2) 32000 8 3 0.06901
(1+0)(8+2) 32000 8 4 0.0311
(1+0)(8+2) 32000 8 5 0.0114
(1+0)(8+2) 32000 8 6 0.00322
(1+0)(8+2) 32000 8 7 0
(1+0)(8+2) 32000 8 8 0
(1+0)(8+2) 32000 9 1 0.63102
(1+0)(8+2) 32000 9 2 0.23227
(1+0)(8+2) 32000 9 3 0.10567
(1+0)(8+2) 32000 9 4 0.05197
(1+0)(8+2) 32000 9 5 0.02413
(1+0)(8+2) 32000 9 6 0.01034
(1+0)(8+2) 32000 9 7 0.00293
(1+0)(8+2) 32000 9 8 0
(1+0)(8+2) 32000 9 9 0
(1+0)(8+2) 32000 10 1 0.75943
(1+0)(8+2) 32000 10 2 0.30877
(1+0)(8+2) 32000 10 3 0.14854
(1+0)(8+2) 32000 10 4 0.08
(1+0)(8+2) 32000 10 5 0.04243
(1+0)(8+2) 32000 10 6 0.0197
(1+0)(8+2) 32000 10 7 0.00817
(1+0)(8+2) 32000 10 8 0.00228
(1+0)(8+2) 32000 10 9 0
(1+0)(8+2) 32000 10 10 0
(1+0)(8+2) 32000 11 1 0.85691
(1+0)(8+2) 32000 11 2 0.39401
(1+0)(8+2) 32000 11 3 0.20218
(1+0)(8+2) 32000 11 4 0.10979
(1+0)(8+2) 32000 11 5 0.06164
(1+0)(8+2) 32000 11 6 0.03427
(1+0)(8+2) 32000 11 7 0.01714
(1+0)(8+2) 32000 11 8 0.00725
(1+0)(8+2) 32000 11 9 0.00226
(1+0)(8+2) 32000 11 10 0
(1+0)(8+2) 32000 11 11 0
(1+0)(8+2) 32000 12 1 0.92825
(1+0)(8+2) 32000 12 2 0.48206
(1+0)(8+2) 32000 12 3 0.25823
(1+0)(8+2) 32000 12 4 0.15243
(1+0)(8+2) 32000 12 5 0.08862
(1+0)(8+2) 32000 12 6 0.05157
(1+0)(8+2) 32000 12 7 0.02926
(1+0)(8+2) 32000 12 8 0.01521
(1+0)(8+2) 32000 12 9 0.00662
(1+0)(8+2) 32000 12 10 0.00207
(1+0)(8+2) 32000 12 11 0
(1+0)(8+2) 32000 12 12 0
(1+0)(8+2) 32000 13 1 0.96869
(1+0)(8+2) 32000 13 2 0.57079
(1+0)(8+2) 32000 13 3 0.32361
(1+0)(8+2) 32000 13 4 0.19523
(1+0)(8+2) 32000 13 5 0.12045
(1+0)(8+2) 32000 13 6 0.0725
(1+0)(8+2) 32000 13 7 0.04517
(1+0)(8+2) 32000 13 8 0.02522
(1+0)(8+2) 32000 13 9 0.01319
(1+0)(8+2) 32000 13 10 0.00597
(1+0)(8+2) 32000 13 11 0.00178
(1+0)(8+2) 32000 13 12 0
(1+0)(8+2) 32000 13 13 0
(1+0)(8+2) 32000 14 1 0.98979
(1+0)(8+2) 32000 14 2 0.65485
(1+0)(8+2) 32000 14 3 0.38394
(1+0)(8+2) 32000 14 4 0.23931
(1+0)(8+2) 32000 14 5 0.15168
(1+0)(8+2) 32000 14 6 0.10007
(1+0)(8+2) 32000 14 7 0.06281
(1+0)(8+2) 32000 14 8 0.03977
(1+0)(8+2) 32000 14 9 0.02251
