config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 1 1 0
(9+1)(9+1) 32000 2 1 0
(9+1)(9+1) 32000 2 2 0
(9+1)(9+1) 32000 3 1 0
(9+1)(9+1) 32000 3 2 0
(9+1)(9+1) 32000 3 3 0
(9+1)(9+1) 32000 4 1 0
(9+1)(9+1) 32000 4 2 3.00E-07
(9+1)(9+1) 32000 4 3 0
(9+1)(9+1) 32000 4 4 0
(9+1)(9+1) 32000 5 1 0
(9+1)(9+1) 32000 5 2 7.00E-07
(9+1)(9+1) 32000 5 3 4.00E-07
(9+1)(9+1) 32000 5 4 0
(9+1)(9+1) 32000 5 5 0
(9+1)(9+1) 32000 6 1 0
(9+1)(9+1) 32000 6 2 2.50E-06
(9+1)(9+1) 32000 6 3 8.00E-07
(9+1)(9+1) 32000 6 4 3.00E-07
(9+1)(9+1) 32000 6 5 0
(9+1)(9+1) 32000 6 6 0
(9+1)(9+1) 32000 7 1 0
(9+1)(9+1) 32000 7 2 3.50E-06
(9+1)(9+1) 32000 7 3 2.20E-06
(9+1)(9+1) 32000 7 4 1.30E-06
(9+1)(9+1) 32000 7 5 2.00E-07
(9+1)(9+1) 32000 7 6 0
(9+1)(9+1) 32000 7 7 0
(9+1)(9+1) 32000 8 1 0
(9+1)(9+1) 32000 8 2 9.60E-06
(9+1)(9+1) 32000 8 3 4.60E-06
(9+1)(9+1) 32000 8 4 2.50E-06
(9+1)(9+1) 32000 8 5 1.40E-06
(9+1)(9+1) 32000 8 6 2.00E-07
(9+1)(9+1) 32000 8 7 0
(9+1)(9+1) 32000 8 8 0
(9+1)(9+1) 32000 9 1 0
(9+1)(9+1) 32000 9 2 1.60E-05
(9+1)(9+1) 32000 9 3 1.00E-05
(9+1)(9+1) 32000 9 4 4.90E-06
(9+1)(9+1) 32000 9 5 2.60E-06
(9+1)(9+1) 32000 9 6 1.20E-06
(9+1)(9+1) 32000 9 7 4.00E-07
(9+1)(9+1) 32000 9 8 0
(9+1)(9+1) 32000 9 9 0
(9+1)(9+1) 32000 10 1 0
(9+1)(9+1) 32000 10 2 2.83E-05
(9+1)(9+1) 32000 10 3 1.44E-05
(9+1)(9+1) 32000 10 4 8.50E-06
(9+1)(9+1) 32000 10 5 6.00E-06
(9+1)(9+1) 32000 10 6 1.80E-06
(9+1)(9+1) 32000 10 7 1.30E-06
(9+1)(9+1) 32000 10 8 1.00E-07
(9+1)(9+1) 32000 10 9 0
(9+1)(9+1) 32000 10 10 0
(9+1)(9+1) 32000 11 1 0
(9+1)(9+1) 32000 11 2 4.62E-05
(9+1)(9+1) 32000 11 3 2.38E-05
(9+1)(9+1) 32000 11 4 1.53E-05
(9+1)(9+1) 32000 11 5 7.50E-06
(9+1)(9+1) 32000 11 6 4.00E-06
(9+1)(9+1) 32000 11 7 3.00E-06
(9+1)(9+1) 32000 11 8 6.00E-07
(9+1)(9+1) 32000 11 9 2.00E-07
(9+1)(9+1) 32000 11 10 0
(9+1)(9+1) 32000 11 11 0
(9+1)(9+1) 32000 12 1 0
(9+1)(9+1) 32000 12 2 6.19E-05
(9+1)(9+1) 32000 12 3 3.91E-05
(9+1)(9+1) 32000 12 4 2.29E-05
(9+1)(9+1) 32000 12 5 1.33E-05
