config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 1 1 0.0
(9+1)(9+1) 32000 2 1 0.0
(9+1)(9+1) 32000 2 2 0.0
(9+1)(9+1) 32000 3 1 0.0
(9+1)(9+1) 32000 3 2 0.0
(9+1)(9+1) 32000 3 3 0.0
(9+1)(9+1) 32000 4 1 0.0
(9+1)(9+1) 32000 4 2 9e-05
(9+1)(9+1) 32000 4 3 0.0
(9+1)(9+1) 32000 4 4 0.0
(9+1)(9+1) 32000 5 1 0.0
(9+1)(9+1) 32000 5 2 0.001
(9+1)(9+1) 32000 5 3 0.00024
(9+1)(9+1) 32000 5 4 0.0
(9+1)(9+1) 32000 5 5 0.0
(9+1)(9+1) 32000 6 1 0.0
(9+1)(9+1) 32000 6 2 0.00229
(9+1)(9+1) 32000 6 3 0.00109
(9+1)(9+1) 32000 6 4 0.00034
(9+1)(9+1) 32000 6 5 0.0
(9+1)(9+1) 32000 6 6 0.0
(9+1)(9+1) 32000 7 1 0.0
(9+1)(9+1) 32000 7 2 0.00463
(9+1)(9+1) 32000 7 3 0.00261
(9+1)(9+1) 32000 7 4 0.00116
(9+1)(9+1) 32000 7 5 0.00036
(9+1)(9+1) 32000 7 6 0.0
(9+1)(9+1) 32000 7 7 0.0
(9+1)(9+1) 32000 8 1 0.0
(9+1)(9+1) 32000 8 2 0.00869
(9+1)(9+1) 32000 8 3 0.00516
(9+1)(9+1) 32000 8 4 0.00252
(9+1)(9+1) 32000 8 5 0.00106
(9+1)(9+1) 32000 8 6 0.00033
(9+1)(9+1) 32000 8 7 0.0
(9+1)(9+1) 32000 8 8 0.0
(9+1)(9+1) 32000 9 1 0.0
(9+1)(9+1) 32000 9 2 0.01427
(9+1)(9+1) 32000 9 3 0.00876
(9+1)(9+1) 32000 9 4 0.00538
(9+1)(9+1) 32000 9 5 0.00297
(9+1)(9+1) 32000 9 6 0.00133
(9+1)(9+1) 32000 9 7 0.00033
(9+1)(9+1) 32000 9 8 0.0
(9+1)(9+1) 32000 9 9 0.0
(9+1)(9+1) 32000 10 1 0.0
(9+1)(9+1) 32000 10 2 0.021
(9+1)(9+1) 32000 10 3 0.01425
(9+1)(9+1) 32000 10 4 0.00872
(9+1)(9+1) 32000 10 5 0.00521
(9+1)(9+1) 32000 10 6 0.00276
(9+1)(9+1) 32000 10 7 0.00111
(9+1)(9+1) 32000 10 8 0.00041
(9+1)(9+1) 32000 10 9 0.0
(9+1)(9+1) 32000 10 10 0.0
(9+1)(9+1) 32000 11 1 0.0
