config total_drives failed_disks affected_racks dl_prob
(8+2)(7+1) 32000 1 1 0.0
(8+2)(7+1) 32000 2 1 0.0
(8+2)(7+1) 32000 2 2 0.0
(8+2)(7+1) 32000 3 1 0.0
(8+2)(7+1) 32000 3 2 0.0
(8+2)(7+1) 32000 3 3 1.0
(8+2)(7+1) 32000 4 1 0.0
(8+2)(7+1) 32000 4 2 0.0
(8+2)(7+1) 32000 4 3 1.0
(8+2)(7+1) 32000 4 4 1.0
(8+2)(7+1) 32000 5 1 0.0
(8+2)(7+1) 32000 5 2 0.0
(8+2)(7+1) 32000 5 3 1.0
(8+2)(7+1) 32000 5 4 1.0
(8+2)(7+1) 32000 5 5 1.0
(8+2)(7+1) 32000 6 1 0.0
(8+2)(7+1) 32000 6 2 0.0
(8+2)(7+1) 32000 6 3 1.0
(8+2)(7+1) 32000 6 4 1.0
(8+2)(7+1) 32000 6 5 1.0
(8+2)(7+1) 32000 6 6 1.0
(8+2)(7+1) 32000 7 1 0.0
(8+2)(7+1) 32000 7 2 0.0
(8+2)(7+1) 32000 7 3 1.0
(8+2)(7+1) 32000 7 4 1.0
(8+2)(7+1) 32000 7 5 1.0
(8+2)(7+1) 32000 7 6 1.0
(8+2)(7+1) 32000 7 7 1.0
(8+2)(7+1) 32000 8 1 0.0
(8+2)(7+1) 32000 8 2 0.0
(8+2)(7+1) 32000 8 3 1.0
(8+2)(7+1) 32000 8 4 1.0
(8+2)(7+1) 32000 8 5 1.0
(8+2)(7+1) 32000 8 6 1.0
(8+2)(7+1) 32000 8 7 1.0
(8+2)(7+1) 32000 8 8 1.0
(8+2)(7+1) 32000 9 1 0.0
(8+2)(7+1) 32000 9 2 0.0
(8+2)(7+1) 32000 9 3 1.0
(8+2)(7+1) 32000 9 4 1.0
(8+2)(7+1) 32000 9 5 1.0
(8+2)(7+1) 32000 9 6 1.0
(8+2)(7+1) 32000 9 7 1.0
(8+2)(7+1) 32000 9 8 1.0
(8+2)(7+1) 32000 9 9 1.0
(8+2)(7+1) 32000 10 1 0.0
