config total_drives failed_disks affected_racks dl_prob failed_iters total_iters
(8+2)(1+0) 32000 1 1 0 0 100000
(8+2)(1+0) 32000 2 1 0 0 100000
(8+2)(1+0) 32000 2 2 0 0 100000
(8+2)(1+0) 32000 3 1 0 0 100000
(8+2)(1+0) 32000 3 2 0 0 100000
(8+2)(1+0) 32000 3 3 0 0 100000
(8+2)(1+0) 32000 4 1 0 0 100000
(8+2)(1+0) 32000 4 2 0 0 100000
(8+2)(1+0) 32000 4 3 0 0 100000
(8+2)(1+0) 32000 4 4 1.00E-07 1 100000
(8+2)(1+0) 32000 5 1 0 0 100000
(8+2)(1+0) 32000 5 2 0 0 100000
(8+2)(1+0) 32000 5 3 2.00E-07 2 100000
(8+2)(1+0) 32000 5 4 7.00E-07 7 100000
(8+2)(1+0) 32000 5 5 8.00E-07 8 100000
(8+2)(1+0) 32000 6 1 0 0 100000
(8+2)(1+0) 32000 6 2 0 0 100000
(8+2)(1+0) 32000 6 3 6.00E-07 6 100000
(8+2)(1+0) 32000 6 4 8.00E-07 8 100000
(8+2)(1+0) 32000 6 5 1.00E-06 10 100000
(8+2)(1+0) 32000 6 6 1.80E-06 18 100000
(8+2)(1+0) 32000 7 1 0 0 100000
(8+2)(1+0) 32000 7 2 0 0 100000
(8+2)(1+0) 32000 7 3 6.00E-07 6 100000
(8+2)(1+0) 32000 7 4 1.60E-06 16 100000
(8+2)(1+0) 32000 7 5 1.40E-06 14 100000
(8+2)(1+0) 32000 7 6 3.00E-06 30 100000
(8+2)(1+0) 32000 7 7 2.30E-06 23 100000
(8+2)(1+0) 32000 8 1 0 0 100000
(8+2)(1+0) 32000 8 2 0 0 100000
(8+2)(1+0) 32000 8 3 1.10E-06 11 100000
(8+2)(1+0) 32000 8 4 1.70E-06 17 100000
(8+2)(1+0) 32000 8 5 2.40E-06 24 100000
(8+2)(1+0) 32000 8 6 3.20E-06 32 100000
(8+2)(1+0) 32000 8 7 3.90E-06 39 100000
(8+2)(1+0) 32000 8 8 4.10E-06 41 100000
(8+2)(1+0) 32000 9 1 0 0 100000
(8+2)(1+0) 32000 9 2 0 0 100000
(8+2)(1+0) 32000 9 3 2.60E-06 26 100000
(8+2)(1+0) 32000 9 4 3.00E-06 30 100000
(8+2)(1+0) 32000 9 5 3.00E-06 30 100000
(8+2)(1+0) 32000 9 6 5.90E-06 59 100000
(8+2)(1+0) 32000 9 7 5.80E-06 58 100000
(8+2)(1+0) 32000 9 8 4.70E-06 47 100000
(8+2)(1+0) 32000 9 9 6.90E-06 69 100000
(8+2)(1+0) 32000 10 1 0 0 100000
(8+2)(1+0) 32000 10 2 0 0 100000
(8+2)(1+0) 32000 10 3 2.00E-06 20 100000
(8+2)(1+0) 32000 10 4 4.10E-06 41 100000
(8+2)(1+0) 32000 10 5 6.00E-06 60 100000
(8+2)(1+0) 32000 10 6 5.70E-06 57 100000
(8+2)(1+0) 32000 10 7 8.30E-06 83 100000
(8+2)(1+0) 32000 10 8 9.00E-06 90 100000
(8+2)(1+0) 32000 10 9 8.30E-06 83 100000
(8+2)(1+0) 32000 10 10 8.10E-06 81 100000
(8+2)(1+0) 32000 11 1 0 0 100000
(8+2)(1+0) 32000 11 2 0 0 100000
(8+2)(1+0) 32000 11 3 3.40E-06 34 100000
(8+2)(1+0) 32000 11 4 6.20E-06 62 100000
(8+2)(1+0) 32000 11 5 8.40E-06 84 100000
(8+2)(1+0) 32000 11 6 9.10E-06 91 100000
(8+2)(1+0) 32000 11 7 1.01E-05 101 100000
(8+2)(1+0) 32000 11 8 1.09E-05 109 100000
(8+2)(1+0) 32000 11 9 9.40E-06 94 100000
(8+2)(1+0) 32000 11 10 1.27E-05 127 100000
(8+2)(1+0) 32000 11 11 1.33E-05 133 100000
(8+2)(1+0) 32000 12 1 0 0 100000
(8+2)(1+0) 32000 12 2 0 0 100000
(8+2)(1+0) 32000 12 3 6.10E-06 61 100000
(8+2)(1+0) 32000 12 4 6.10E-06 61 100000
(8+2)(1+0) 32000 12 5 8.50E-06 85 100000
(8+2)(1+0) 32000 12 6 1.10E-05 110 100000
(8+2)(1+0) 32000 12 7 1.44E-05 144 100000
(8+2)(1+0) 32000 12 8 1.21E-05 121 100000
(8+2)(1+0) 32000 12 9 1.30E-05 130 100000
(8+2)(1+0) 32000 12 10 1.46E-05 146 100000
(8+2)(1+0) 32000 12 11 1.66E-05 166 100000
(8+2)(1+0) 32000 12 12 1.55E-05 155 100000
(8+2)(1+0) 32000 13 1 0 0 100000
(8+2)(1+0) 32000 13 2 0 0 100000
(8+2)(1+0) 32000 13 3 4.50E-06 45 100000
(8+2)(1+0) 32000 13 4 8.80E-06 88 100000
(8+2)(1+0) 32000 13 5 1.19E-05 119 100000
(8+2)(1+0) 32000 13 6 1.33E-05 133 100000
(8+2)(1+0) 32000 13 7 1.61E-05 161 100000
(8+2)(1+0) 32000 13 8 1.59E-05 159 100000
(8+2)(1+0) 32000 13 9 1.59E-05 159 100000
(8+2)(1+0) 32000 13 10 1.66E-05 166 100000
(8+2)(1+0) 32000 13 11 1.93E-05 193 100000
(8+2)(1+0) 32000 13 12 1.97E-05 197 100000
(8+2)(1+0) 32000 13 13 2.40E-05 240 100000
(8+2)(1+0) 32000 14 1 0 0 100000
(8+2)(1+0) 32000 14 2 0 0 100000
(8+2)(1+0) 32000 14 3 6.20E-06 62 100000
(8+2)(1+0) 32000 14 4 1.05E-05 105 100000
(8+2)(1+0) 32000 14 5 1.27E-05 127 100000
(8+2)(1+0) 32000 14 6 1.66E-05 166 100000
(8+2)(1+0) 32000 14 7 2.21E-05 221 100000
(8+2)(1+0) 32000 14 8 2.15E-05 215 100000
(8+2)(1+0) 32000 14 9 2.27E-05 227 100000
(8+2)(1+0) 32000 14 10 2.42E-05 242 100000
(8+2)(1+0) 32000 14 11 2.64E-05 264 100000
(8+2)(1+0) 32000 14 12 2.33E-05 233 100000
(8+2)(1+0) 32000 14 13 2.46E-05 246 100000
(8+2)(1+0) 32000 14 14 2.71E-05 271 100000
(8+2)(1+0) 32000 15 1 0 0 100000
(8+2)(1+0) 32000 15 2 0 0 100000
(8+2)(1+0) 32000 15 3 7.30E-06 73 100000
(8+2)(1+0) 32000 15 4 1.11E-05 111 100000
(8+2)(1+0) 32000 15 5 1.78E-05 178 100000
(8+2)(1+0) 32000 15 6 2.08E-05 208 100000
(8+2)(1+0) 32000 15 7 2.44E-05 244 100000
(8+2)(1+0) 32000 15 8 2.64E-05 264 100000
(8+2)(1+0) 32000 15 9 2.93E-05 293 100000
(8+2)(1+0) 32000 15 10 2.82E-05 282 100000
(8+2)(1+0) 32000 15 11 3.02E-05 302 100000
(8+2)(1+0) 32000 15 12 3.23E-05 323 100000
(8+2)(1+0) 32000 15 13 3.69E-05 369 100000
(8+2)(1+0) 32000 15 14 3.24E-05 324 100000
(8+2)(1+0) 32000 15 15 3.47E-05 347 100000
(8+2)(1+0) 32000 16 1 0 0 100000
(8+2)(1+0) 32000 16 2 0 0 100000
(8+2)(1+0) 32000 16 3 9.90E-06 99 100000
(8+2)(1+0) 32000 16 4 1.55E-05 155 100000
(8+2)(1+0) 32000 16 5 2.19E-05 219 100000
(8+2)(1+0) 32000 16 6 2.08E-05 208 100000
(8+2)(1+0) 32000 16 7 3.01E-05 301 100000
(8+2)(1+0) 32000 16 8 3.20E-05 320 100000
(8+2)(1+0) 32000 16 9 3.01E-05 301 100000
(8+2)(1+0) 32000 16 10 3.44E-05 344 100000
(8+2)(1+0) 32000 16 11 3.84E-05 384 100000
(8+2)(1+0) 32000 16 12 3.59E-05 359 100000
(8+2)(1+0) 32000 16 13 3.80E-05 380 100000
(8+2)(1+0) 32000 16 14 3.80E-05 380 100000
(8+2)(1+0) 32000 16 15 4.01E-05 401 100000
(8+2)(1+0) 32000 16 16 4.70E-05 470 100000
(8+2)(1+0) 32000 17 1 0 0 100000
(8+2)(1+0) 32000 17 2 0 0 100000
(8+2)(1+0) 32000 17 3 1.02E-05 102 100000
(8+2)(1+0) 32000 17 4 2.04E-05 204 100000
(8+2)(1+0) 32000 17 5 2.57E-05 257 100000
(8+2)(1+0) 32000 17 6 3.13E-05 313 100000
(8+2)(1+0) 32000 17 7 3.17E-05 317 100000
(8+2)(1+0) 32000 17 8 3.86E-05 386 100000
(8+2)(1+0) 32000 17 9 4.13E-05 413 100000
(8+2)(1+0) 32000 17 10 4.25E-05 425 100000
(8+2)(1+0) 32000 17 11 4.36E-05 436 100000
(8+2)(1+0) 32000 17 12 4.31E-05 431 100000
(8+2)(1+0) 32000 17 13 4.73E-05 473 100000
(8+2)(1+0) 32000 17 14 4.98E-05 498 100000
(8+2)(1+0) 32000 17 15 4.93E-05 493 100000
(8+2)(1+0) 32000 17 16 5.01E-05 501 100000
(8+2)(1+0) 32000 17 17 5.21E-05 521 100000
(8+2)(1+0) 32000 18 1 0 0 100000
(8+2)(1+0) 32000 18 2 0 0 100000
(8+2)(1+0) 32000 18 3 1.41E-05 141 100000
(8+2)(1+0) 32000 18 4 2.30E-05 230 100000
(8+2)(1+0) 32000 18 5 3.01E-05 301 100000
(8+2)(1+0) 32000 18 6 3.42E-05 342 100000
(8+2)(1+0) 32000 18 7 4.10E-05 410 100000
(8+2)(1+0) 32000 18 8 4.12E-05 412 100000
(8+2)(1+0) 32000 18 9 4.71E-05 471 100000
(8+2)(1+0) 32000 18 10 4.79E-05 479 100000
(8+2)(1+0) 32000 18 11 4.97E-05 497 100000
(8+2)(1+0) 32000 18 12 5.55E-05 555 100000
(8+2)(1+0) 32000 18 13 5.96E-05 596 100000
(8+2)(1+0) 32000 18 14 5.67E-05 567 100000
(8+2)(1+0) 32000 18 15 5.63E-05 563 100000
(8+2)(1+0) 32000 18 16 6.07E-05 607 100000
(8+2)(1+0) 32000 18 17 5.94E-05 594 100000
(8+2)(1+0) 32000 18 18 5.80E-05 580 100000
(8+2)(1+0) 32000 19 1 0 0 100000
(8+2)(1+0) 32000 19 2 0 0 100000
(8+2)(1+0) 32000 19 3 1.76E-05 176 100000
(8+2)(1+0) 32000 19 4 2.75E-05 275 100000
(8+2)(1+0) 32000 19 5 3.32E-05 332 100000
(8+2)(1+0) 32000 19 6 4.26E-05 426 100000
(8+2)(1+0) 32000 19 7 4.65E-05 465 100000
(8+2)(1+0) 32000 19 8 5.05E-05 505 100000
(8+2)(1+0) 32000 19 9 5.19E-05 519 100000
(8+2)(1+0) 32000 19 10 6.06E-05 606 100000
(8+2)(1+0) 32000 19 11 5.60E-05 560 100000
(8+2)(1+0) 32000 19 12 6.38E-05 638 100000
(8+2)(1+0) 32000 19 13 6.51E-05 651 100000
(8+2)(1+0) 32000 19 14 6.75E-05 675 100000
(8+2)(1+0) 32000 19 15 6.36E-05 636 100000
(8+2)(1+0) 32000 19 16 6.92E-05 692 100000
(8+2)(1+0) 32000 19 17 7.00E-05 700 100000
(8+2)(1+0) 32000 19 18 7.57E-05 757 100000
(8+2)(1+0) 32000 19 19 7.29E-05 729 100000
(8+2)(1+0) 32000 20 1 0 0 100000
(8+2)(1+0) 32000 20 2 0 0 100000
(8+2)(1+0) 32000 20 3 2.22E-05 222 100000
(8+2)(1+0) 32000 20 4 3.36E-05 336 100000
(8+2)(1+0) 32000 20 5 3.56E-05 356 100000
(8+2)(1+0) 32000 20 6 4.96E-05 496 100000
(8+2)(1+0) 32000 20 7 6.02E-05 602 100000
(8+2)(1+0) 32000 20 8 5.53E-05 553 100000
(8+2)(1+0) 32000 20 9 6.36E-05 636 100000
(8+2)(1+0) 32000 20 10 6.31E-05 631 100000
(8+2)(1+0) 32000 20 11 7.43E-05 743 100000
(8+2)(1+0) 32000 20 12 7.60E-05 760 100000
(8+2)(1+0) 32000 20 13 7.58E-05 758 100000
(8+2)(1+0) 32000 20 14 7.47E-05 747 100000
(8+2)(1+0) 32000 20 15 8.31E-05 831 100000
(8+2)(1+0) 32000 20 16 8.54E-05 854 100000
(8+2)(1+0) 32000 20 17 8.11E-05 811 100000
(8+2)(1+0) 32000 20 18 8.70E-05 870 100000
(8+2)(1+0) 32000 20 19 8.77E-05 877 100000
