config total_drives failed_disks affected_racks dl_prob
(1+0)(8+2) 32000 1 1 0
(1+0)(8+2) 32000 2 1 0
(1+0)(8+2) 32000 3 1 0.00011
(1+0)(8+2) 32000 4 1 0.0005
(1+0)(8+2) 32000 5 1 0.00112
(1+0)(8+2) 32000 6 1 0.0023
(1+0)(8+2) 32000 7 1 0.00358
(1+0)(8+2) 32000 8 1 0.00617
(1+0)(8+2) 32000 9 1 0.00972
(1+0)(8+2) 32000 10 1 0.01243
(1+0)(8+2) 32000 11 1 0.01767
(1+0)(8+2) 32000 12 1 0.02308
(1+0)(8+2) 32000 13 1 0.02999
(1+0)(8+2) 32000 14 1 0.03826
(1+0)(8+2) 32000 15 1 0.04831
(1+0)(8+2) 32000 16 1 0.05747
(1+0)(8+2) 32000 17 1 0.06971
(1+0)(8+2) 32000 18 1 0.08205
(1+0)(8+2) 32000 19 1 0.09644
(1+0)(8+2) 32000 20 1 0.11029
(1+0)(8+2) 32000 2 2 0
(1+0)(8+2) 32000 3 2 0
(1+0)(8+2) 32000 4 2 7.00E-05
(1+0)(8+2) 32000 5 2 0.00031
(1+0)(8+2) 32000 6 2 0.0004
(1+0)(8+2) 32000 7 2 0.00088
(1+0)(8+2) 32000 8 2 0.00144
(1+0)(8+2) 32000 9 2 0.00231
(1+0)(8+2) 32000 10 2 0.0033
(1+0)(8+2) 32000 11 2 0.00449
(1+0)(8+2) 32000 12 2 0.00633
(1+0)(8+2) 32000 13 2 0.0076
(1+0)(8+2) 32000 14 2 0.01011
(1+0)(8+2) 32000 15 2 0.01248
(1+0)(8+2) 32000 16 2 0.01545
(1+0)(8+2) 32000 17 2 0.01846
(1+0)(8+2) 32000 18 2 0.0218
(1+0)(8+2) 32000 19 2 0.0253
(1+0)(8+2) 32000 20 2 0.02999
(1+0)(8+2) 32000 3 3 0
(1+0)(8+2) 32000 4 3 0
(1+0)(8+2) 32000 5 3 1.00E-05
(1+0)(8+2) 32000 6 3 0.00013
(1+0)(8+2) 32000 7 3 0.00034
(1+0)(8+2) 32000 8 3 0.00064
(1+0)(8+2) 32000 9 3 0.00098
(1+0)(8+2) 32000 10 3 0.00127
(1+0)(8+2) 32000 11 3 0.00183
(1+0)(8+2) 32000 12 3 0.00247
(1+0)(8+2) 32000 13 3 0.00338
(1+0)(8+2) 32000 14 3 0.00458
(1+0)(8+2) 32000 15 3 0.00582
(1+0)(8+2) 32000 16 3 0.00724
(1+0)(8+2) 32000 17 3 0.00873
(1+0)(8+2) 32000 18 3 0.00952
(1+0)(8+2) 32000 19 3 0.01164
(1+0)(8+2) 32000 20 3 0.01413
(1+0)(8+2) 32000 4 4 0
(1+0)(8+2) 32000 5 4 0
(1+0)(8+2) 32000 6 4 7.00E-05
(1+0)(8+2) 32000 7 4 0.00011
(1+0)(8+2) 32000 8 4 0.00027
(1+0)(8+2) 32000 9 4 0.00047
(1+0)(8+2) 32000 10 4 0.00074
(1+0)(8+2) 32000 11 4 0.00114
(1+0)(8+2) 32000 12 4 0.0013
(1+0)(8+2) 32000 13 4 0.00179
(1+0)(8+2) 32000 14 4 0.00225
(1+0)(8+2) 32000 15 4 0.00303
(1+0)(8+2) 32000 16 4 0.00368
(1+0)(8+2) 32000 17 4 0.00453
(1+0)(8+2) 32000 18 4 0.00574
(1+0)(8+2) 32000 19 4 0.00653
(1+0)(8+2) 32000 20 4 0.00792
(1+0)(8+2) 32000 5 5 0
(1+0)(8+2) 32000 6 5 0
(1+0)(8+2) 32000 7 5 4.00E-05
(1+0)(8+2) 32000 8 5 0.0001
(1+0)(8+2) 32000 9 5 0.0002
(1+0)(8+2) 32000 10 5 0.00025
(1+0)(8+2) 32000 11 5 0.00046
(1+0)(8+2) 32000 12 5 0.00087
(1+0)(8+2) 32000 13 5 0.00116
(1+0)(8+2) 32000 14 5 0.00125
(1+0)(8+2) 32000 15 5 0.00185
(1+0)(8+2) 32000 16 5 0.00226
(1+0)(8+2) 32000 17 5 0.00289
(1+0)(8+2) 32000 18 5 0.00357
(1+0)(8+2) 32000 19 5 0.00411
(1+0)(8+2) 32000 20 5 0.0049
(1+0)(8+2) 32000 6 6 0
(1+0)(8+2) 32000 7 6 0
(1+0)(8+2) 32000 8 6 1.00E-05
(1+0)(8+2) 32000 9 6 4.00E-05
(1+0)(8+2) 32000 10 6 0.00021
(1+0)(8+2) 32000 11 6 0.00027
(1+0)(8+2) 32000 12 6 0.00034
(1+0)(8+2) 32000 13 6 0.0005
