config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 1 1 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 2 1 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 3 1 0.0085 2.071 0.047 85 10000.0 notadapt
(1+0)(8+2) 32000 4 1 0.0275 1.561 0.026 275 10000.0 notadapt
(1+0)(8+2) 32000 5 1 0.0698 1.156 0.016 698 10000.0 notadapt
(1+0)(8+2) 32000 6 1 0.1242 0.906 0.012 1242 10000.0 notadapt
(1+0)(8+2) 32000 7 1 0.2014 0.696 0.01 2014 10000.0 notadapt
(1+0)(8+2) 32000 8 1 0.2979 0.526 0.008 2979 10000.0 notadapt
(1+0)(8+2) 32000 9 1 0.4187 0.378 0.007 4187 10000.0 notadapt
(1+0)(8+2) 32000 10 1 0.5287 0.277 0.006 5287 10000.0 notadapt
(1+0)(8+2) 32000 11 1 0.6441 0.191 0.005 6441 10000.0 notadapt
(1+0)(8+2) 32000 12 1 0.7523 0.124 0.005 7523 10000.0 notadapt
(1+0)(8+2) 32000 13 1 0.8378 0.077 0.005 8378 10000.0 notadapt
(1+0)(8+2) 32000 14 1 0.9031 0.044 0.005 9031 10000.0 notadapt
(1+0)(8+2) 32000 15 1 0.9449 0.025 0.004 9449 10000.0 notadapt
(1+0)(8+2) 32000 16 1 0.9776 0.01 0.004 9776 10000.0 notadapt
(1+0)(8+2) 32000 17 1 0.9918 0.004 0.004 9918 10000.0 notadapt
(1+0)(8+2) 32000 18 1 0.9975 0.001 0.004 9975 10000.0 notadapt
(1+0)(8+2) 32000 19 1 0.9992 0.0 0.004 9992 10000.0 notadapt
(1+0)(8+2) 32000 20 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 21 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 22 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 23 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 24 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 25 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 26 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 27 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 28 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 29 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 30 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 31 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 32 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 33 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 34 1 1.0 -0.0 0.001 100000 100000 notadapt
