config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(4+1)(4+1) 400 1 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 2 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 3 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 4 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 5 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 6 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 7 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 8 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 9 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 10 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 11 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 12 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 13 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 14 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 15 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 16 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 17 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 18 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 19 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 20 1 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 2 2 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 3 2 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 4 2 0.4448 0.352 0.007 4448 10000.0 notadapt
(4+1)(4+1) 400 5 2 0.6841 0.165 0.005 6841 10000.0 notadapt
(4+1)(4+1) 400 6 2 0.8393 0.076 0.005 8393 10000.0 notadapt
(4+1)(4+1) 400 7 2 0.9174 0.037 0.005 9174 10000.0 notadapt
(4+1)(4+1) 400 8 2 0.9621 0.017 0.004 9621 10000.0 notadapt
(4+1)(4+1) 400 9 2 0.9803 0.009 0.004 9803 10000.0 notadapt
(4+1)(4+1) 400 10 2 0.9911 0.004 0.004 9911 10000.0 notadapt
(4+1)(4+1) 400 11 2 0.9966 0.001 0.004 9966 10000.0 notadapt
(4+1)(4+1) 400 12 2 0.9992 0.0 0.004 9992 10000.0 notadapt
(4+1)(4+1) 400 13 2 0.9997 0.0 0.004 9997 10000.0 notadapt
(4+1)(4+1) 400 14 2 0.9998 0.0 0.004 9998 10000.0 notadapt
(4+1)(4+1) 400 15 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 3 3 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 4 3 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 5 3 0.6107 0.214 0.006 6107 10000.0 notadapt
(4+1)(4+1) 400 6 3 0.8558 0.068 0.005 8558 10000.0 notadapt
(4+1)(4+1) 400 7 3 0.9422 0.026 0.004 9422 10000.0 notadapt
(4+1)(4+1) 400 8 3 0.9805 0.009 0.004 9805 10000.0 notadapt
(4+1)(4+1) 400 9 3 0.9934 0.003 0.004 9934 10000.0 notadapt
(4+1)(4+1) 400 10 3 0.9973 0.001 0.004 9973 10000.0 notadapt
(4+1)(4+1) 400 11 3 0.9992 0.0 0.004 9992 10000.0 notadapt
(4+1)(4+1) 400 12 3 0.9998 0.0 0.004 9998 10000.0 notadapt
(4+1)(4+1) 400 13 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 14 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 15 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 3 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 4 4 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 5 4 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 6 4 0.7067 0.151 0.005 7067 10000.0 notadapt
(4+1)(4+1) 400 7 4 0.9143 0.039 0.005 9143 10000.0 notadapt
(4+1)(4+1) 400 8 4 0.9739 0.011 0.004 9739 10000.0 notadapt
(4+1)(4+1) 400 9 4 0.9928 0.003 0.004 9928 10000.0 notadapt
(4+1)(4+1) 400 10 4 0.9987 0.001 0.004 9987 10000.0 notadapt
(4+1)(4+1) 400 11 4 0.9998 0.0 0.004 9998 10000.0 notadapt
(4+1)(4+1) 400 12 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 13 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 14 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 15 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 4 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 5 5 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 6 5 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 7 5 0.7604 0.119 0.005 7604 10000.0 notadapt
(4+1)(4+1) 400 8 5 0.9413 0.026 0.004 9413 10000.0 notadapt
(4+1)(4+1) 400 9 5 0.9867 0.006 0.004 9867 10000.0 notadapt
(4+1)(4+1) 400 10 5 0.997 0.001 0.004 9970 10000.0 notadapt
(4+1)(4+1) 400 11 5 0.9994 0.0 0.004 9994 10000.0 notadapt
(4+1)(4+1) 400 12 5 0.9998 0.0 0.004 9998 10000.0 notadapt
(4+1)(4+1) 400 13 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 14 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 15 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 5 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 6 6 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 7 6 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 8 6 0.7991 0.097 0.005 7991 10000.0 notadapt
(4+1)(4+1) 400 9 6 0.9597 0.018 0.004 9597 10000.0 notadapt
(4+1)(4+1) 400 10 6 0.9921 0.003 0.004 9921 10000.0 notadapt
(4+1)(4+1) 400 11 6 0.9983 0.001 0.004 9983 10000.0 notadapt
(4+1)(4+1) 400 12 6 0.9993 0.0 0.004 9993 10000.0 notadapt
(4+1)(4+1) 400 13 6 0.9999 0.0 0.004 9999 10000.0 notadapt
(4+1)(4+1) 400 14 6 0.9999 0.0 0.004 9999 10000.0 notadapt
(4+1)(4+1) 400 15 6 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 6 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 6 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 6 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 6 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 6 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 7 7 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 8 7 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 9 7 0.8273 0.082 0.005 8273 10000.0 notadapt
(4+1)(4+1) 400 10 7 0.9687 0.014 0.004 9687 10000.0 notadapt
(4+1)(4+1) 400 11 7 0.9948 0.002 0.004 9948 10000.0 notadapt
(4+1)(4+1) 400 12 7 0.9992 0.0 0.004 9992 10000.0 notadapt
(4+1)(4+1) 400 13 7 0.9997 0.0 0.004 9997 10000.0 notadapt
(4+1)(4+1) 400 14 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 15 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 7 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 8 8 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 9 8 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 10 8 0.8474 0.072 0.005 8474 10000.0 notadapt
(4+1)(4+1) 400 11 8 0.9764 0.01 0.004 9764 10000.0 notadapt
(4+1)(4+1) 400 12 8 0.9963 0.002 0.004 9963 10000.0 notadapt
(4+1)(4+1) 400 13 8 0.9994 0.0 0.004 9994 10000.0 notadapt
(4+1)(4+1) 400 14 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 15 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 20 8 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 9 9 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 10 9 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 11 9 0.8641 0.063 0.005 8641 10000.0 notadapt
(4+1)(4+1) 400 12 9 0.9795 0.009 0.004 9795 10000.0 notadapt
(4+1)(4+1) 400 13 9 0.9979 0.001 0.004 9979 10000.0 notadapt
(4+1)(4+1) 400 14 9 0.9999 0.0 0.004 9999 10000.0 notadapt
(4+1)(4+1) 400 15 9 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 16 9 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 17 9 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 18 9 1.0 -0.0 0.004 10000 10000.0 notadapt
(4+1)(4+1) 400 19 9 1.0 -0.0 0.004 10000 10000.0 notadapt
