config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 1 1 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 2 2 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 4 4 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 2 1 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 12 12 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 9 9 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 9 8 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 3 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 6 5 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 5 5 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 6 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 5 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 12 11 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 8 8 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 54 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 21 19 0.0671 1.173 0.017 671 10000.0 notadapt
(1+0)(8+2) 32000 3 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 3 2 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 4 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 4 2 0.5701 0.244 0.006 5701 10000.0 notadapt
(1+0)(8+2) 32000 4 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 7 7 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 100 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 11 10 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 18 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 23 23 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 26 25 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 24 24 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 18 18 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 29 3 1.0 -0.0 0.004 10000 10000.0 notadapt

