config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 1 1 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 2 2 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 4 4 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 2 1 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 12 12 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 9 9 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 9 8 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 3 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 6 5 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 5 5 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 6 1 0.1316 0.881 0.012 1316 10000.0 notadapt
(1+0)(8+2) 32000 5 1 0.0658 1.182 0.017 658 10000.0 notadapt
(1+0)(8+2) 32000 12 11 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 8 8 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 54 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 21 19 0.0002 3.699 0.307 2 10000.0 notadapt
(1+0)(8+2) 32000 3 1 0.0069 2.161 0.052 69 10000.0 notadapt
(1+0)(8+2) 32000 3 2 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 4 1 0.0274 1.562 0.026 274 10000.0 notadapt
(1+0)(8+2) 32000 4 2 0.0035 2.456 0.073 35 10000.0 notadapt
(1+0)(8+2) 32000 4 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 7 7 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 100 1 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 11 10 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 18 1 0.9973 0.001 0.004 9973 10000.0 notadapt
(1+0)(8+2) 32000 23 23 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 26 25 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 24 24 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 18 18 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 29 3 0.9088 0.042 0.005 9088 10000.0 notadapt

