config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(8+2)(1+0) 32000 1 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 2 2 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 4 4 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 2 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 12 12 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 9 9 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 9 8 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 3 3 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 6 5 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 5 5 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 6 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 5 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 12 11 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 8 8 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 54 2 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 21 19 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 3 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 3 2 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 4 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 4 2 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 4 3 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 7 7 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 100 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 11 10 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 18 1 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 23 23 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(1+0) 32000 26 25 0.0004 3.398 0.217 4 10000.0 notadapt
(8+2)(1+0) 32000 24 24 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(1+0) 32000 18 18 0.0 0 0 0 10000.0 notadapt
(8+2)(1+0) 32000 29 3 0.0 0 0 0 10000.0 notadapt

