,Timestamp,Rack,Enclosure
0,2019-07-01T01:10:03-0400,21,3
1,2019-07-01T06:10:00-0400,26,4
2,2019-07-01T10:08:58-0400,9,3
3,2019-07-01T10:21:25-0400,14,5
4,2019-07-01T18:03:44-0400,16,6
5,2019-07-02T18:09:28-0400,2,8
6,2019-07-03T09:08:11-0400,8,3
7,2019-07-03T13:42:21-0400,13,2
8,2019-07-03T17:08:47-0400,7,2
9,2019-07-03T19:39:29-0400,19,3
10,2019-07-03T20:07:26-0400,8,2
11,2019-07-04T20:09:55-0400,7,2
12,2019-07-05T03:12:22-0400,13,3
13,2019-07-05T09:55:24-0400,13,2
14,2019-07-05T21:41:17-0400,12,4
15,2019-07-06T01:41:19-0400,12,4
16,2019-07-06T07:08:58-0400,3,5
17,2019-07-06T10:51:25-0400,14,7
18,2019-07-08T01:09:01-0400,4,3
19,2019-07-09T13:39:52-0400,29,8
20,2019-07-10T00:39:22-0400,22,3
21,2019-07-13T07:09:45-0400,28,8
22,2019-07-15T04:39:45-0400,20,4
23,2019-07-15T07:24:12-0400,26,5
24,2019-07-15T20:40:09-0400,27,1
25,2019-07-16T00:10:10-0400,27,1
26,2019-07-16T17:19:19-0400,23,6
27,2019-07-16T17:50:33-0400,36,5
28,2019-07-16T18:48:20-0400,14,3
29,2019-07-16T18:48:57-0400,28,6
30,2019-07-16T18:49:19-0400,23,7
31,2019-07-16T18:58:38-0400,19,4
32,2019-07-16T19:18:56-0400,28,8
33,2019-07-16T19:19:04-0400,37,6
34,2019-07-16T19:20:57-0400,38,8
35,2019-07-16T19:26:33-0400,31,8
36,2019-07-17T02:25:56-0400,23,7
37,2019-07-17T06:05:44-0400,20,4
38,2019-07-17T10:50:40-0400,21,2
39,2019-07-17T15:19:05-0400,11,8
40,2019-07-18T07:49:19-0400,17,6
41,2019-07-18T13:19:24-0400,38,3
42,2019-07-18T22:09:11-0400,27,5
43,2019-07-19T08:19:03-0400,11,8
44,2019-07-19T08:41:02-0400,28,2
45,2019-07-19T08:41:03-0400,28,2
46,2019-07-19T08:56:31-0400,20,4
47,2019-07-20T10:19:03-0400,11,8
48,2019-07-21T03:49:03-0400,11,8
49,2019-07-21T07:49:30-0400,30,6
50,2019-07-21T18:50:39-0400,15,5
51,2019-07-22T17:20:01-0400,2,6
52,2019-07-23T01:49:15-0400,16,3
53,2019-07-23T05:31:53-0400,2,6
54,2019-07-23T15:49:36-0400,28,2
55,2019-07-23T17:40:54-0400,28,2
56,2019-07-23T19:10:53-0400,28,2
57,2019-07-24T19:19:16-0400,20,7
58,2019-07-25T16:40:53-0400,28,2
59,2019-07-26T20:19:21-0400,6,6
60,2019-07-27T10:48:36-0400,16,8
61,2019-07-27T11:31:25-0400,20,7
62,2019-07-28T21:58:21-0400,19,5
63,2019-07-29T01:28:21-0400,19,5
64,2019-07-30T09:19:40-0400,28,2
65,2019-08-01T01:49:28-0400,6,8
66,2019-08-02T15:18:56-0400,7,4
67,2019-08-03T08:20:35-0400,34,6
68,2019-08-05T01:39:22-0400,11,3
69,2019-08-05T22:28:29-0400,19,8
70,2019-08-06T08:58:28-0400,19,8
71,2019-08-06T19:49:00-0400,7,1
72,2019-08-06T20:21:13-0400,21,8
73,2019-08-06T23:41:22-0400,24,2
74,2019-08-07T00:01:17-0400,24,2
75,2019-08-07T00:19:20-0400,21,8
76,2019-08-07T05:58:59-0400,31,1
77,2019-08-08T05:49:03-0400,25,2
78,2019-08-08T18:49:30-0400,6,2
79,2019-08-11T08:49:21-0400,21,7
80,2019-08-11T10:49:21-0400,21,6
81,2019-08-12T07:51:03-0400,21,3
82,2019-08-13T01:31:25-0400,21,3
83,2019-08-14T05:49:06-0400,7,3
84,2019-08-15T12:20:42-0400,7,7
85,2019-08-15T17:40:06-0400,19,6
86,2019-08-15T18:48:51-0400,14,3
