config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 1 1 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 2 1 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 3 1 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 4 1 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 5 1 0.0015 nines sigma 15 10000 notadapt
(1+0)(8+2) 32000 6 1 0.0022 nines sigma 22 10000 notadapt
(1+0)(8+2) 32000 7 1 0.0051 nines sigma 51 10000 notadapt
(1+0)(8+2) 32000 8 1 0.006 nines sigma 60 10000 notadapt
(1+0)(8+2) 32000 9 1 0.0086 nines sigma 86 10000 notadapt
(1+0)(8+2) 32000 10 1 0.0129 nines sigma 129 10000 notadapt
(1+0)(8+2) 32000 11 1 0.0203 nines sigma 203 10000 notadapt
(1+0)(8+2) 32000 12 1 0.0234 nines sigma 234 10000 notadapt
(1+0)(8+2) 32000 13 1 0.0306 nines sigma 306 10000 notadapt
(1+0)(8+2) 32000 14 1 0.04 nines sigma 400 10000 notadapt
(1+0)(8+2) 32000 15 1 0.0428 nines sigma 428 10000 notadapt
(1+0)(8+2) 32000 16 1 0.0583 nines sigma 583 10000 notadapt
(1+0)(8+2) 32000 17 1 0.073 nines sigma 730 10000 notadapt
(1+0)(8+2) 32000 18 1 0.0807 nines sigma 807 10000 notadapt
(1+0)(8+2) 32000 19 1 0.0937 nines sigma 937 10000 notadapt
(1+0)(8+2) 32000 20 1 0.1158 nines sigma 1158 10000 notadapt
(1+0)(8+2) 32000 21 1 0.1262 nines sigma 1262 10000 notadapt
(1+0)(8+2) 32000 22 1 0.1479 nines sigma 1479 10000 notadapt
(1+0)(8+2) 32000 23 1 0.1682 nines sigma 1682 10000 notadapt
(1+0)(8+2) 32000 24 1 0.1858 nines sigma 1858 10000 notadapt
(1+0)(8+2) 32000 25 1 0.2047 nines sigma 2047 10000 notadapt
(1+0)(8+2) 32000 26 1 0.2354 nines sigma 2354 10000 notadapt
(1+0)(8+2) 32000 27 1 0.2519 nines sigma 2519 10000 notadapt
(1+0)(8+2) 32000 28 1 0.2774 nines sigma 2774 10000 notadapt
(1+0)(8+2) 32000 29 1 0.3083 nines sigma 3083 10000 notadapt
(1+0)(8+2) 32000 30 1 0.3396 nines sigma 3396 10000 notadapt
(1+0)(8+2) 32000 31 1 0.3584 nines sigma 3584 10000 notadapt
(1+0)(8+2) 32000 32 1 0.3919 nines sigma 3919 10000 notadapt
(1+0)(8+2) 32000 33 1 0.4214 nines sigma 4214 10000 notadapt
(1+0)(8+2) 32000 34 1 0.4384 nines sigma 4384 10000 notadapt
(1+0)(8+2) 32000 35 1 0.4701 nines sigma 4701 10000 notadapt
(1+0)(8+2) 32000 36 1 0.4951 nines sigma 4951 10000 notadapt
(1+0)(8+2) 32000 37 1 0.5319 nines sigma 5319 10000 notadapt
(1+0)(8+2) 32000 38 1 0.5551 nines sigma 5551 10000 notadapt
(1+0)(8+2) 32000 39 1 0.5744 nines sigma 5744 10000 notadapt
(1+0)(8+2) 32000 40 1 0.6083 nines sigma 6083 10000 notadapt
(1+0)(8+2) 32000 41 1 0.6378 nines sigma 6378 10000 notadapt
(1+0)(8+2) 32000 42 1 0.6682 nines sigma 6682 10000 notadapt
(1+0)(8+2) 32000 43 1 0.6912 nines sigma 6912 10000 notadapt
(1+0)(8+2) 32000 44 1 0.715 nines sigma 7150 10000 notadapt
(1+0)(8+2) 32000 45 1 0.7356 nines sigma 7356 10000 notadapt
(1+0)(8+2) 32000 46 1 0.7698 nines sigma 7698 10000 notadapt
(1+0)(8+2) 32000 47 1 0.7815 nines sigma 7815 10000 notadapt
(1+0)(8+2) 32000 48 1 0.8001 nines sigma 8001 10000 notadapt
