config total_drives failed_disks affected_racks dl_prob
(1+0)(8+2) 32000 1 1 0.0
(1+0)(8+2) 32000 2 1 0.0
(1+0)(8+2) 32000 2 2 0.0
(1+0)(8+2) 32000 3 1 0.015216388907186573
(1+0)(8+2) 32000 3 2 0.0
(1+0)(8+2) 32000 3 3 0.0
(1+0)(8+2) 32000 4 1 0.055309759929886626
(1+0)(8+2) 32000 4 2 0.008690412129493619
(1+0)(8+2) 32000 4 3 0.0
(1+0)(8+2) 32000 4 4 0.0
(1+0)(8+2) 32000 5 1 0.12572500200241754
(1+0)(8+2) 32000 5 2 0.02855852531849845
(1+0)(8+2) 32000 5 3 0.00608198264359372
(1+0)(8+2) 32000 5 4 0.0
(1+0)(8+2) 32000 5 5 0.0
(1+0)(8+2) 32000 6 1 0.2267155418244582
(1+0)(8+2) 32000 6 2 0.06077942044243778
(1+0)(8+2) 32000 6 3 0.019343507901419366
(1+0)(8+2) 32000 6 4 0.004677907482590782
(1+0)(8+2) 32000 6 5 0.0
(1+0)(8+2) 32000 6 6 0.0
(1+0)(8+2) 32000 7 1 0.3527274199646383
(1+0)(8+2) 32000 7 2 0.10569499612624489
(1+0)(8+2) 32000 7 3 0.04034987373699139
(1+0)(8+2) 32000 7 4 0.014645124768904005
(1+0)(8+2) 32000 7 5 0.003800525304518021
(1+0)(8+2) 32000 7 6 0.0
(1+0)(8+2) 32000 7 7 0.0
(1+0)(8+2) 32000 8 1 0.4928284523385782
(1+0)(8+2) 32000 8 2 0.16295852850152204
(1+0)(8+2) 32000 8 3 0.06932186900352955
(1+0)(8+2) 32000 8 4 0.030244025053665635
(1+0)(8+2) 32000 8 5 0.011789552749654097
(1+0)(8+2) 32000 8 6 0.003200284205820636
(1+0)(8+2) 32000 8 7 0.0
(1+0)(8+2) 32000 8 8 0.0
(1+0)(8+2) 32000 9 1 0.6326952572308793
(1+0)(8+2) 32000 9 2 0.2314937367728236
(1+0)(8+2) 32000 9 3 0.10619650287317695
(1+0)(8+2) 32000 9 4 0.051629303036109575
(1+0)(8+2) 32000 9 5 0.024198765344860873
(1+0)(8+2) 32000 9 6 0.009868392349346333
(1+0)(8+2) 32000 9 7 0.00276378248501985
(1+0)(8+2) 32000 9 8 0.0
(1+0)(8+2) 32000 9 9 0.0
(1+0)(8+2) 32000 10 1 0.757905534550281
(1+0)(8+2) 32000 10 2 0.3094281847733782
(1+0)(8+2) 32000 10 3 0.1506349803819379
(1+0)(8+2) 32000 10 4 0.07879880727316824
(1+0)(8+2) 32000 10 5 0.04114336219590786
(1+0)(8+2) 32000 10 6 0.020172098317366882
(1+0)(8+2) 32000 10 7 0.00848677489302574
(1+0)(8+2) 32000 10 8 0.0024320621597185843
(1+0)(8+2) 32000 10 9 0.0
(1+0)(8+2) 32000 10 10 0.0
(1+0)(8+2) 32000 11 1 0.8576201428485737
(1+0)(8+2) 32000 11 2 0.3941102802391355
(1+0)(8+2) 32000 11 3 0.20201830193679748
(1+0)(8+2) 32000 11 4 0.11160336532899784
(1+0)(8+2) 32000 11 5 0.0626393124646798
(1+0)(8+2) 32000 11 6 0.03420083577151911
(1+0)(8+2) 32000 11 7 0.01729627332089989
(1+0)(8+2) 32000 11 8 0.007445096378289939
(1+0)(8+2) 32000 11 9 0.002171437472806681
(1+0)(8+2) 32000 11 10 0.0
(1+0)(8+2) 32000 11 11 0.0
(1+0)(8+2) 32000 12 1 0.927246096296329
(1+0)(8+2) 32000 12 2 0.4822592044485581
(1+0)(8+2) 32000 12 3 0.2594492714430917
(1+0)(8+2) 32000 12 4 0.14974978846715092
(1+0)(8+2) 32000 12 5 0.08861064064610025
(1+0)(8+2) 32000 12 6 0.0519760102424589
(1+0)(8+2) 32000 12 7 0.02926384658468484
(1+0)(8+2) 32000 12 8 0.01513906878068938
(1+0)(8+2) 32000 12 9 0.006631498895790067
