config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(32+6)(16+1) 32000 1000000 1 1 0E-49
(32+6)(16+1) 32000 1000000 2 1 0E-49
(32+6)(16+1) 32000 1000000 2 2 0E-49
(32+6)(16+1) 32000 1000000 3 1 0E-49
(32+6)(16+1) 32000 1000000 3 2 0E-49
(32+6)(16+1) 32000 1000000 3 3 0E-49
(32+6)(16+1) 32000 1000000 4 1 0E-49
(32+6)(16+1) 32000 1000000 4 2 0E-49
(32+6)(16+1) 32000 1000000 4 3 0E-49
(32+6)(16+1) 32000 1000000 4 4 0E-49
(32+6)(16+1) 32000 1000000 5 1 0E-49
(32+6)(16+1) 32000 1000000 5 2 0E-49
(32+6)(16+1) 32000 1000000 5 3 0E-49
(32+6)(16+1) 32000 1000000 5 4 0E-49
(32+6)(16+1) 32000 1000000 5 5 0E-49
(32+6)(16+1) 32000 1000000 6 1 0E-49
(32+6)(16+1) 32000 1000000 6 2 0E-49
(32+6)(16+1) 32000 1000000 6 3 0E-49
(32+6)(16+1) 32000 1000000 6 4 0E-49
(32+6)(16+1) 32000 1000000 6 5 0E-49
(32+6)(16+1) 32000 1000000 6 6 0E-49
(32+6)(16+1) 32000 1000000 7 1 0E-49
(32+6)(16+1) 32000 1000000 7 2 0E-49
(32+6)(16+1) 32000 1000000 7 3 0E-49
(32+6)(16+1) 32000 1000000 7 4 0E-49
(32+6)(16+1) 32000 1000000 7 5 0E-49
(32+6)(16+1) 32000 1000000 7 6 0E-49
(32+6)(16+1) 32000 1000000 7 7 0E-49
(32+6)(16+1) 32000 1000000 8 1 0E-49
(32+6)(16+1) 32000 1000000 8 2 0E-49
(32+6)(16+1) 32000 1000000 8 3 0E-49
(32+6)(16+1) 32000 1000000 8 4 0E-49
(32+6)(16+1) 32000 1000000 8 5 0E-49
(32+6)(16+1) 32000 1000000 8 6 0E-49
(32+6)(16+1) 32000 1000000 8 7 0E-49
(32+6)(16+1) 32000 1000000 8 8 4.70476150512694196934877066803909635E-15
(32+6)(16+1) 32000 1000000 9 1 0E-49
(32+6)(16+1) 32000 1000000 9 2 0E-49
(32+6)(16+1) 32000 1000000 9 3 0E-49
(32+6)(16+1) 32000 1000000 9 4 0E-49
(32+6)(16+1) 32000 1000000 9 5 0E-49
(32+6)(16+1) 32000 1000000 9 6 0E-49
(32+6)(16+1) 32000 1000000 9 7 0E-49
(32+6)(16+1) 32000 1000000 9 8 9.40952301025386180391674888022581132E-15
(32+6)(16+1) 32000 1000000 9 9 4.229588544368654370052757177585495451E-14
(32+6)(16+1) 32000 1000000 10 1 0E-49
(32+6)(16+1) 32000 1000000 10 2 0E-49
(32+6)(16+1) 32000 1000000 10 3 0E-49
(32+6)(16+1) 32000 1000000 10 4 0E-49
(32+6)(16+1) 32000 1000000 10 5 0E-49
(32+6)(16+1) 32000 1000000 10 6 0E-49
(32+6)(16+1) 32000 1000000 10 7 0E-49
(32+6)(16+1) 32000 1000000 10 8 1.806707572736432941937958269939354876E-14
