config total_drives failed_disks affected_racks dl_prob
(18+2)(18+2) 32000 1 1 0.0
(18+2)(18+2) 32000 2 1 0.0
(18+2)(18+2) 32000 2 2 0.0
(18+2)(18+2) 32000 3 1 0.0
(18+2)(18+2) 32000 3 2 0.0
(18+2)(18+2) 32000 3 3 0.0
(18+2)(18+2) 32000 4 1 0.0
(18+2)(18+2) 32000 4 2 0.0
(18+2)(18+2) 32000 4 3 0.0
(18+2)(18+2) 32000 4 4 0.0
(18+2)(18+2) 32000 5 1 0.0
(18+2)(18+2) 32000 5 2 0.0
(18+2)(18+2) 32000 5 3 0.0
(18+2)(18+2) 32000 5 4 0.0
(18+2)(18+2) 32000 5 5 0.0
(18+2)(18+2) 32000 6 1 0.0
(18+2)(18+2) 32000 6 2 0.0
(18+2)(18+2) 32000 6 3 0.0
(18+2)(18+2) 32000 6 4 0.0
(18+2)(18+2) 32000 6 5 0.0
(18+2)(18+2) 32000 6 6 0.0
(18+2)(18+2) 32000 7 1 0.0
(18+2)(18+2) 32000 7 2 0.0
(18+2)(18+2) 32000 7 3 0.0
(18+2)(18+2) 32000 7 4 0.0
(18+2)(18+2) 32000 7 5 0.0
(18+2)(18+2) 32000 7 6 0.0
(18+2)(18+2) 32000 7 7 0.0
(18+2)(18+2) 32000 8 1 0.0
(18+2)(18+2) 32000 8 2 0.0
(18+2)(18+2) 32000 8 3 0.0
(18+2)(18+2) 32000 8 4 0.0
(18+2)(18+2) 32000 8 5 0.0
(18+2)(18+2) 32000 8 6 0.0
(18+2)(18+2) 32000 8 7 0.0
(18+2)(18+2) 32000 8 8 0.0
(18+2)(18+2) 32000 9 1 0.0
(18+2)(18+2) 32000 9 2 0.0
(18+2)(18+2) 32000 9 3 2.1094237467877974e-15
(18+2)(18+2) 32000 9 4 0.0
(18+2)(18+2) 32000 9 5 0.0
(18+2)(18+2) 32000 9 6 0.0
(18+2)(18+2) 32000 9 7 0.0
(18+2)(18+2) 32000 9 8 0.0
(18+2)(18+2) 32000 9 9 0.0
(18+2)(18+2) 32000 10 1 0.0
(18+2)(18+2) 32000 10 2 0.0
(18+2)(18+2) 32000 10 3 1.9761969838327786e-14
(18+2)(18+2) 32000 10 4 1.7763568394002505e-15
(18+2)(18+2) 32000 10 5 0.0
(18+2)(18+2) 32000 10 6 0.0
(18+2)(18+2) 32000 10 7 0.0
(18+2)(18+2) 32000 10 8 0.0
(18+2)(18+2) 32000 10 9 0.0
(18+2)(18+2) 32000 10 10 0.0
(18+2)(18+2) 32000 11 1 0.0
(18+2)(18+2) 32000 11 2 0.0
(18+2)(18+2) 32000 11 3 1.0513812043200232e-13
(18+2)(18+2) 32000 11 4 1.6209256159527285e-14
(18+2)(18+2) 32000 11 5 1.4432899320127035e-15
(18+2)(18+2) 32000 11 6 0.0
(18+2)(18+2) 32000 11 7 0.0
(18+2)(18+2) 32000 11 8 0.0
(18+2)(18+2) 32000 11 9 0.0
(18+2)(18+2) 32000 11 10 0.0
(18+2)(18+2) 32000 11 11 0.0
(18+2)(18+2) 32000 12 1 0.0
(18+2)(18+2) 32000 12 2 0.0
(18+2)(18+2) 32000 12 3 4.0900616227190767e-13
(18+2)(18+2) 32000 12 4 8.08242361927114e-14
(18+2)(18+2) 32000 12 5 1.176836406102666e-14
(18+2)(18+2) 32000 12 6 9.992007221626409e-16
(18+2)(18+2) 32000 12 7 0.0
(18+2)(18+2) 32000 12 8 0.0
(18+2)(18+2) 32000 12 9 0.0
(18+2)(18+2) 32000 12 10 0.0
(18+2)(18+2) 32000 12 11 0.0
(18+2)(18+2) 32000 12 12 0.0
(18+2)(18+2) 32000 13 1 0.0
(18+2)(18+2) 32000 13 2 0.0
(18+2)(18+2) 32000 13 3 1.2979617380892705e-12
(18+2)(18+2) 32000 13 4 2.9598545836506673e-13
(18+2)(18+2) 32000 13 5 5.617728504603292e-14
(18+2)(18+2) 32000 13 6 8.548717289613705e-15
(18+2)(18+2) 32000 13 7 7.771561172376096e-16
(18+2)(18+2) 32000 13 8 0.0
(18+2)(18+2) 32000 13 9 0.0
(18+2)(18+2) 32000 13 10 0.0
(18+2)(18+2) 32000 13 11 0.0
(18+2)(18+2) 32000 13 12 0.0
(18+2)(18+2) 32000 13 13 0.0
(18+2)(18+2) 32000 14 1 0.0
(18+2)(18+2) 32000 14 2 0.0
(18+2)(18+2) 32000 14 3 3.5578207047137766e-12
(18+2)(18+2) 32000 14 4 8.892886427247504e-13
(18+2)(18+2) 32000 14 5 1.9828583219805296e-13
(18+2)(18+2) 32000 14 6 3.941291737419306e-14
(18+2)(18+2) 32000 14 7 6.217248937900877e-15
(18+2)(18+2) 32000 14 8 5.551115123125783e-16
(18+2)(18+2) 32000 14 9 0.0
(18+2)(18+2) 32000 14 10 0.0
(18+2)(18+2) 32000 14 11 0.0
(18+2)(18+2) 32000 14 12 0.0
(18+2)(18+2) 32000 14 13 0.0
(18+2)(18+2) 32000 14 14 0.0
(18+2)(18+2) 32000 15 1 0.0
(18+2)(18+2) 32000 15 2 0.0
(18+2)(18+2) 32000 15 3 8.722467192967542e-12
(18+2)(18+2) 32000 15 4 2.320588166071502e-12
(18+2)(18+2) 32000 15 5 5.762057497804562e-13
(18+2)(18+2) 32000 15 6 1.3566925360919413e-13
(18+2)(18+2) 32000 15 7 2.842170943040401e-14
(18+2)(18+2) 32000 15 8 4.6629367034256575e-15
(18+2)(18+2) 32000 15 9 4.440892098500626e-16
(18+2)(18+2) 32000 15 10 0.0
(18+2)(18+2) 32000 15 11 0.0
(18+2)(18+2) 32000 15 12 0.0
(18+2)(18+2) 32000 15 13 0.0
(18+2)(18+2) 32000 15 14 0.0
(18+2)(18+2) 32000 15 15 0.0
(18+2)(18+2) 32000 16 1 0.0
(18+2)(18+2) 32000 16 2 0.0
(18+2)(18+2) 32000 16 3 1.9574009080258747e-11
(18+2)(18+2) 32000 16 4 5.442535311317442e-12
(18+2)(18+2) 32000 16 5 1.4584999874500681e-12
(18+2)(18+2) 32000 16 6 3.8535841184739184e-13
(18+2)(18+2) 32000 16 7 9.592326932761353e-14
(18+2)(18+2) 32000 16 8 2.1094237467877974e-14
(18+2)(18+2) 32000 16 9 3.6637359812630166e-15
(18+2)(18+2) 32000 16 10 3.3306690738754696e-16
(18+2)(18+2) 32000 16 11 0.0
(18+2)(18+2) 32000 16 12 0.0
(18+2)(18+2) 32000 16 13 0.0
(18+2)(18+2) 32000 16 14 0.0
(18+2)(18+2) 32000 16 15 0.0
(18+2)(18+2) 32000 16 16 0.0
(18+2)(18+2) 32000 17 1 0.0
(18+2)(18+2) 32000 17 2 0.0
(18+2)(18+2) 32000 17 3 4.086808669256925e-11
(18+2)(18+2) 32000 17 4 1.1734613281078055e-11
(18+2)(18+2) 32000 17 5 3.326672270986819e-12
(18+2)(18+2) 32000 17 6 9.551248680850222e-13
(18+2)(18+2) 32000 17 7 2.680078381445128e-13
(18+2)(18+2) 32000 17 8 7.005507285384738e-14
(18+2)(18+2) 32000 17 9 1.5987211554602254e-14
(18+2)(18+2) 32000 17 10 2.7755575615628914e-15
(18+2)(18+2) 32000 17 11 3.3306690738754696e-16
