config total_drives failed_disks affected_racks dl_prob
(8+2)(8+2) 32000 1 1 0.0
(8+2)(8+2) 32000 2 1 0.0
(8+2)(8+2) 32000 2 2 0.0
(8+2)(8+2) 32000 3 1 0.0
(8+2)(8+2) 32000 3 2 0.0
(8+2)(8+2) 32000 3 3 0.0
(8+2)(8+2) 32000 4 1 0.0
(8+2)(8+2) 32000 4 2 0.0
(8+2)(8+2) 32000 4 3 0.0
(8+2)(8+2) 32000 4 4 0.0
(8+2)(8+2) 32000 5 1 0.0
(8+2)(8+2) 32000 5 2 0.0
(8+2)(8+2) 32000 5 3 0.0
(8+2)(8+2) 32000 5 4 0.0
(8+2)(8+2) 32000 5 5 0.0
(8+2)(8+2) 32000 6 1 0.0
(8+2)(8+2) 32000 6 2 0.0
(8+2)(8+2) 32000 6 3 0.0
(8+2)(8+2) 32000 6 4 0.0
(8+2)(8+2) 32000 6 5 0.0
(8+2)(8+2) 32000 6 6 0.0
(8+2)(8+2) 32000 7 1 0.0
(8+2)(8+2) 32000 7 2 0.0
(8+2)(8+2) 32000 7 3 0.0
(8+2)(8+2) 32000 7 4 0.0
(8+2)(8+2) 32000 7 5 0.0
(8+2)(8+2) 32000 7 6 0.0
(8+2)(8+2) 32000 7 7 0.0
(8+2)(8+2) 32000 8 1 0.0
(8+2)(8+2) 32000 8 2 0.0
(8+2)(8+2) 32000 8 3 0.0
(8+2)(8+2) 32000 8 4 0.0
(8+2)(8+2) 32000 8 5 0.0
(8+2)(8+2) 32000 8 6 0.0
(8+2)(8+2) 32000 8 7 0.0
(8+2)(8+2) 32000 8 8 0.0
(8+2)(8+2) 32000 9 1 0.0
(8+2)(8+2) 32000 9 2 0.0
(8+2)(8+2) 32000 9 3 1.3367085216486885e-13
(8+2)(8+2) 32000 9 4 0.0
(8+2)(8+2) 32000 9 5 0.0
(8+2)(8+2) 32000 9 6 0.0
(8+2)(8+2) 32000 9 7 0.0
(8+2)(8+2) 32000 9 8 0.0
(8+2)(8+2) 32000 9 9 0.0
(8+2)(8+2) 32000 10 1 0.0
(8+2)(8+2) 32000 10 2 0.0
(8+2)(8+2) 32000 10 3 1.2920775560587572e-12
(8+2)(8+2) 32000 10 4 1.1834977442504169e-13
(8+2)(8+2) 32000 10 5 0.0
(8+2)(8+2) 32000 10 6 0.0
(8+2)(8+2) 32000 10 7 0.0
(8+2)(8+2) 32000 10 8 0.0
(8+2)(8+2) 32000 10 9 0.0
(8+2)(8+2) 32000 10 10 0.0
(8+2)(8+2) 32000 11 1 0.0
(8+2)(8+2) 32000 11 2 0.0
(8+2)(8+2) 32000 11 3 6.93367585569149e-12
(8+2)(8+2) 32000 11 4 1.060596055424412e-12
(8+2)(8+2) 32000 11 5 8.992806499463768e-14
(8+2)(8+2) 32000 11 6 0.0
(8+2)(8+2) 32000 11 7 0.0
(8+2)(8+2) 32000 11 8 0.0
(8+2)(8+2) 32000 11 9 0.0
(8+2)(8+2) 32000 11 10 0.0
(8+2)(8+2) 32000 11 11 0.0
(8+2)(8+2) 32000 12 1 0.0
(8+2)(8+2) 32000 12 2 0.0
(8+2)(8+2) 32000 12 3 2.7228330701234427e-11
(8+2)(8+2) 32000 12 4 5.313971485065849e-12
(8+2)(8+2) 32000 12 5 7.681633107381458e-13
(8+2)(8+2) 32000 12 6 6.705747068735946e-14
(8+2)(8+2) 32000 12 7 0.0
(8+2)(8+2) 32000 12 8 0.0
(8+2)(8+2) 32000 12 9 0.0
(8+2)(8+2) 32000 12 10 0.0
(8+2)(8+2) 32000 12 11 0.0
(8+2)(8+2) 32000 12 12 0.0
(8+2)(8+2) 32000 13 1 0.0
(8+2)(8+2) 32000 13 2 0.0
(8+2)(8+2) 32000 13 3 8.722567113039759e-11
