config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 1 1 0.0
(9+1)(9+1) 32000 2 1 0.0
(9+1)(9+1) 32000 2 2 0.0
(9+1)(9+1) 32000 3 1 0.0
(9+1)(9+1) 32000 3 2 0.0
(9+1)(9+1) 32000 3 3 0.0
(9+1)(9+1) 32000 4 1 0.0
(9+1)(9+1) 32000 4 2 0.006584317353213298
(9+1)(9+1) 32000 4 3 0.0
(9+1)(9+1) 32000 4 4 0.0
(9+1)(9+1) 32000 5 1 0.0
(9+1)(9+1) 32000 5 2 0.028214534182451678
(9+1)(9+1) 32000 5 3 0.009216065536466034
(9+1)(9+1) 32000 5 4 0.0
(9+1)(9+1) 32000 5 5 0.0
(9+1)(9+1) 32000 6 1 0.0
(9+1)(9+1) 32000 6 2 0.0728207076795957
(9+1)(9+1) 32000 6 3 0.03524929082069017
(9+1)(9+1) 32000 6 4 0.010632692772929442
(9+1)(9+1) 32000 6 5 0.0
(9+1)(9+1) 32000 6 6 0.0
(9+1)(9+1) 32000 7 1 0.0
(9+1)(9+1) 32000 7 2 0.14413201802411613
(9+1)(9+1) 32000 7 3 0.0836865218185674
(9+1)(9+1) 32000 7 4 0.03805883044019631
(9+1)(9+1) 32000 7 5 0.011517918524916682
(9+1)(9+1) 32000 7 6 0.0
(9+1)(9+1) 32000 7 7 0.0
(9+1)(9+1) 32000 8 1 0.0
(9+1)(9+1) 32000 8 2 0.23958356514119494
(9+1)(9+1) 32000 8 3 0.15612221430547935
(9+1)(9+1) 32000 8 4 0.08610400903632032
(9+1)(9+1) 32000 8 5 0.03946188996679911
(9+1)(9+1) 32000 8 6 0.012123525626641873
(9+1)(9+1) 32000 8 7 0.0
(9+1)(9+1) 32000 8 8 0.0
(9+1)(9+1) 32000 9 1 0.0
(9+1)(9+1) 32000 9 2 0.35093619783161434
(9+1)(9+1) 32000 9 3 0.24955968981756416
(9+1)(9+1) 32000 9 4 0.15525663047267457
(9+1)(9+1) 32000 9 5 0.08645569984053736
(9+1)(9+1) 32000 9 6 0.04026278106304926
(9+1)(9+1) 32000 9 7 0.012563929562003695
(9+1)(9+1) 32000 9 8 0.0
(9+1)(9+1) 32000 9 9 0.0
(9+1)(9+1) 32000 10 1 0.0
(9+1)(9+1) 32000 10 2 0.4671218404324736
(9+1)(9+1) 32000 10 3 0.3572318581853132
(9+1)(9+1) 32000 10 4 0.24260784927483903
(9+1)(9+1) 32000 10 5 0.15235201250499952
(9+1)(9+1) 32000 10 6 0.08618814950345666
(9+1)(9+1) 32000 10 7 0.040762842756667306
