config total_drives failed_disks affected_racks dl_prob
(8+2)(8+2) 32000 1 1 0.0
(8+2)(8+2) 32000 2 1 0.0
(8+2)(8+2) 32000 2 2 0.0
(8+2)(8+2) 32000 3 1 0.0
(8+2)(8+2) 32000 3 2 0.0
(8+2)(8+2) 32000 3 3 0.0
(8+2)(8+2) 32000 4 1 0.0
(8+2)(8+2) 32000 4 2 0.0
(8+2)(8+2) 32000 4 3 0.0
(8+2)(8+2) 32000 4 4 0.0
(8+2)(8+2) 32000 5 1 0.0
(8+2)(8+2) 32000 5 2 0.0
(8+2)(8+2) 32000 5 3 0.0
(8+2)(8+2) 32000 5 4 0.0
(8+2)(8+2) 32000 5 5 0.0
(8+2)(8+2) 32000 6 1 0.0
(8+2)(8+2) 32000 6 2 0.0
(8+2)(8+2) 32000 6 3 0.0
(8+2)(8+2) 32000 6 4 0.0
(8+2)(8+2) 32000 6 5 0.0
(8+2)(8+2) 32000 6 6 0.0
(8+2)(8+2) 32000 7 1 0.0
(8+2)(8+2) 32000 7 2 0.0
(8+2)(8+2) 32000 7 3 0.0
(8+2)(8+2) 32000 7 4 0.0
(8+2)(8+2) 32000 7 5 0.0
(8+2)(8+2) 32000 7 6 0.0
(8+2)(8+2) 32000 7 7 0.0
(8+2)(8+2) 32000 8 1 0.0
(8+2)(8+2) 32000 8 2 0.0
(8+2)(8+2) 32000 8 3 0.0
(8+2)(8+2) 32000 8 4 0.0
(8+2)(8+2) 32000 8 5 0.0
(8+2)(8+2) 32000 8 6 0.0
(8+2)(8+2) 32000 8 7 0.0
(8+2)(8+2) 32000 8 8 0.0
(8+2)(8+2) 32000 9 1 0.0
(8+2)(8+2) 32000 9 2 0.0
(8+2)(8+2) 32000 9 3 2.48330356278359e-10
(8+2)(8+2) 32000 9 4 0.0
(8+2)(8+2) 32000 9 5 0.0
(8+2)(8+2) 32000 9 6 0.0
(8+2)(8+2) 32000 9 7 0.0
(8+2)(8+2) 32000 9 8 0.0
(8+2)(8+2) 32000 9 9 0.0
(8+2)(8+2) 32000 10 1 0.0
(8+2)(8+2) 32000 10 2 0.0
(8+2)(8+2) 32000 10 3 2.1952093476329537e-09
(8+2)(8+2) 32000 10 4 2.1991763965445443e-10
(8+2)(8+2) 32000 10 5 0.0
(8+2)(8+2) 32000 10 6 0.0
(8+2)(8+2) 32000 10 7 0.0
(8+2)(8+2) 32000 10 8 0.0
(8+2)(8+2) 32000 10 9 0.0
(8+2)(8+2) 32000 10 10 0.0
(8+2)(8+2) 32000 11 1 0.0
(8+2)(8+2) 32000 11 2 0.0
(8+2)(8+2) 32000 11 3 1.0778019476909151e-08
(8+2)(8+2) 32000 11 4 1.8260329914809859e-09
(8+2)(8+2) 32000 11 5 1.6703149974262033e-10
(8+2)(8+2) 32000 11 6 0.0
(8+2)(8+2) 32000 11 7 0.0
(8+2)(8+2) 32000 11 8 0.0
(8+2)(8+2) 32000 11 9 0.0
(8+2)(8+2) 32000 11 10 0.0
(8+2)(8+2) 32000 11 11 0.0
(8+2)(8+2) 32000 12 1 0.0
(8+2)(8+2) 32000 12 2 0.0
(8+2)(8+2) 32000 12 3 3.8731855167561946e-08
(8+2)(8+2) 32000 12 4 8.492539116389253e-09
(8+2)(8+2) 32000 12 5 1.3356662442731704e-09
(8+2)(8+2) 32000 12 6 1.2445666719429482e-10
(8+2)(8+2) 32000 12 7 0.0
(8+2)(8+2) 32000 12 8 0.0
(8+2)(8+2) 32000 12 9 0.0
(8+2)(8+2) 32000 12 10 0.0
(8+2)(8+2) 32000 12 11 0.0
(8+2)(8+2) 32000 12 12 0.0
(8+2)(8+2) 32000 13 1 0.0
(8+2)(8+2) 32000 13 2 0.0
(8+2)(8+2) 32000 13 3 1.1356728724098986e-07
