config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 1 1 0.0
(9+1)(9+1) 32000 2 1 0.0
(9+1)(9+1) 32000 2 2 0.0
(9+1)(9+1) 32000 3 1 0.0
(9+1)(9+1) 32000 3 2 0.0
(9+1)(9+1) 32000 3 3 0.0
(9+1)(9+1) 32000 4 1 0.0
(9+1)(9+1) 32000 4 2 5.4415845894273396e-05
(9+1)(9+1) 32000 4 3 0.0
(9+1)(9+1) 32000 4 4 0.0
(9+1)(9+1) 32000 5 1 0.0
(9+1)(9+1) 32000 5 2 0.0002522735254659736
(9+1)(9+1) 32000 5 3 7.616583087988182e-05
(9+1)(9+1) 32000 5 4 0.0
(9+1)(9+1) 32000 5 5 0.0
(9+1)(9+1) 32000 6 1 0.0
(9+1)(9+1) 32000 6 2 0.0007255354572807127
(9+1)(9+1) 32000 6 3 0.0003151709529050084
(9+1)(9+1) 32000 6 4 8.787349399119737e-05
(9+1)(9+1) 32000 6 5 0.0
(9+1)(9+1) 32000 6 6 0.0
(9+1)(9+1) 32000 7 1 0.0
(9+1)(9+1) 32000 7 2 0.0016457152796383046
(9+1)(9+1) 32000 7 3 0.0008279839654632415
(9+1)(9+1) 32000 7 4 0.0003402900459160696
(9+1)(9+1) 32000 7 5 9.51894092968697e-05
(9+1)(9+1) 32000 7 6 0.0
(9+1)(9+1) 32000 7 7 0.0
(9+1)(9+1) 32000 8 1 0.0
(9+1)(9+1) 32000 8 2 0.003216503775637869
(9+1)(9+1) 32000 8 3 0.001745447820457935
(9+1)(9+1) 32000 8 4 0.0008482188908933708
(9+1)(9+1) 32000 8 5 0.0003528338670893971
(9+1)(9+1) 32000 8 6 0.00010019442666642231
(9+1)(9+1) 32000 8 7 0.0
(9+1)(9+1) 32000 8 8 0.0
(9+1)(9+1) 32000 9 1 0.0
(9+1)(9+1) 32000 9 2 0.0056644008822993586
(9+1)(9+1) 32000 9 3 0.0032136164036490333
(9+1)(9+1) 32000 9 4 0.0017137022255480083
(9+1)(9+1) 32000 9 5 0.0008491627503830479
(9+1)(9+1) 32000 9 6 0.00035999385290297337
(9+1)(9+1) 32000 9 7 0.00010383412861159069
(9+1)(9+1) 32000 9 8 0.0
(9+1)(9+1) 32000 9 9 0.0
(9+1)(9+1) 32000 10 1 0.0
(9+1)(9+1) 32000 10 2 0.009228624204136393
(9+1)(9+1) 32000 10 3 0.005389209529920946
(9+1)(9+1) 32000 10 4 0.003046869655940032
(9+1)(9+1) 32000 10 5 0.0016670994672123296
(9+1)(9+1) 32000 10 6 0.0008447069111129357
