config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(8+2)(7+1) 32000 1000000 1 1 0
(8+2)(7+1) 32000 1000000 2 1 0
(8+2)(7+1) 32000 1000000 2 2 0
(8+2)(7+1) 32000 1000000 3 1 0
(8+2)(7+1) 32000 1000000 3 2 0
(8+2)(7+1) 32000 1000000 3 3 0.07310123933365471090273668313638594108790644914005
(8+2)(7+1) 32000 1000000 4 1 0
(8+2)(7+1) 32000 1000000 4 2 0
(8+2)(7+1) 32000 1000000 4 3 0.14085868747674027253427722680515503649974328371820
(8+2)(7+1) 32000 1000000 4 4 0.26183645185618929898747053624369876813354431851350
(8+2)(7+1) 32000 1000000 5 1 0
(8+2)(7+1) 32000 1000000 5 2 0
(8+2)(7+1) 32000 1000000 5 3 0.23913715356687499972109492462635965071731071754656
(8+2)(7+1) 32000 1000000 5 4 0.41214138272477960124624625770736377495429786584521
(8+2)(7+1) 32000 1000000 5 5 0.53179079121345682002070390426135311382523647496613
(8+2)(7+1) 32000 1000000 6 1 0
(8+2)(7+1) 32000 1000000 6 2 0
(8+2)(7+1) 32000 1000000 6 3 0.36590763814203198444663398123594355651934552267963
(8+2)(7+1) 32000 1000000 6 4 0.57855179045424201380317879327267024793126234038501
(8+2)(7+1) 32000 1000000 6 5 0.70301992867356574962793696222546370962287849395056
(8+2)(7+1) 32000 1000000 6 6 0.78072111735234390159821980609153602270003817684084
(8+2)(7+1) 32000 1000000 7 1 0
(8+2)(7+1) 32000 1000000 7 2 0
(8+2)(7+1) 32000 1000000 7 3 0.51091792033384426910629567930362914339780544823622
(8+2)(7+1) 32000 1000000 7 4 0.73506039543174450843085577137774420807518264498728
(8+2)(7+1) 32000 1000000 7 5 0.84119405379848241071221252334345831757474321133309
(8+2)(7+1) 32000 1000000 7 6 0.89730396697840411179654488594119219702243909917312
(8+2)(7+1) 32000 1000000 7 7 0.92970102867360073638182745817105838910258081782575
(8+2)(7+1) 32000 1000000 8 1 0
(8+2)(7+1) 32000 1000000 8 2 0
(8+2)(7+1) 32000 1000000 8 3 0.65694966931367991778556153909501265546025424458067
(8+2)(7+1) 32000 1000000 8 4 0.85795895151904189297334942129248027650697124522235
(8+2)(7+1) 32000 1000000 8 5 0.93081267513340169947668006043591906056110724806473
(8+2)(7+1) 32000 1000000 8 6 0.96214830296219126278770419086235127691243817329816
(8+2)(7+1) 32000 1000000 8 7 0.97746273919366776634714841057338700834143598351372
(8+2)(7+1) 32000 1000000 8 8 0.98569639254628646665140302925944571381309250251177
(8+2)(7+1) 32000 1000000 9 1 0
(8+2)(7+1) 32000 1000000 9 2 0
(8+2)(7+1) 32000 1000000 9 3 0.78511306911502438645883668104996878084422501569218
(8+2)(7+1) 32000 1000000 9 4 0.93690077848271838745193129401902406245786324772815
(8+2)(7+1) 32000 1000000 9 5 0.97629665119353287404648566672041120169176367273460
(8+2)(7+1) 32000 1000000 9 6 0.98944982443770797769921523362489903678199751453167
(8+2)(7+1) 32000 1000000 9 7 0.99470158384648970450816079354190063703935173966755
(8+2)(7+1) 32000 1000000 9 8 0.99708967027301284373338344248941744860290474680055
(8+2)(7+1) 32000 1000000 9 9 0.99828738738614551525959482500130049468204232208821
(8+2)(7+1) 32000 1000000 10 1 0
(8+2)(7+1) 32000 1000000 10 2 0
(8+2)(7+1) 32000 1000000 10 3 0.88197368213988823438373949920233869646954088685064
(8+2)(7+1) 32000 1000000 10 4 0.97744925557780243793653007685782766426867232437957
(8+2)(7+1) 32000 1000000 10 5 0.99384245690248760295640024105634056297616334373045
