config total_drives failed_disks affected_racks dl_prob
(9+1)(1+0) 32000 1 1 0.0
(9+1)(1+0) 32000 2 1 0.0
(9+1)(1+0) 32000 2 2 0.00028846153846151523
(9+1)(1+0) 32000 3 1 0.0
(9+1)(1+0) 32000 3 2 0.0005769230769230305
(9+1)(1+0) 32000 3 3 0.0008652327935222415
(9+1)(1+0) 32000 4 1 0.0
(9+1)(1+0) 32000 4 2 0.0009887897931376566
(9+1)(1+0) 32000 4 3 0.0014418522267206635
(9+1)(1+0) 32000 4 4 0.0017299112372114456
(9+1)(1+0) 32000 5 1 0.0
(9+1)(1+0) 32000 5 2 0.0015373374016379726
(9+1)(1+0) 32000 5 3 0.002190868179232641
(9+1)(1+0) 32000 5 4 0.0025941344307364167
(9+1)(1+0) 32000 5 5 0.0028818440798834555
(9+1)(1+0) 32000 6 1 0.0
(9+1)(1+0) 32000 6 2 0.0022297768354807568
(9+1)(1+0) 32000 6 3 0.003121209991998719
(9+1)(1+0) 32000 6 4 0.0036566957758092933
(9+1)(1+0) 32000 6 5 0.00403286711951778
(9+1)(1+0) 32000 6 6 0.004320129078921542
(9+1)(1+0) 32000 7 1 0.0
(9+1)(1+0) 32000 7 2 0.0030685762430764374
(9+1)(1+0) 32000 7 3 0.0042379811677952794
(9+1)(1+0) 32000 7 4 0.004923367870660611
(9+1)(1+0) 32000 7 5 0.005397950006867824
(9+1)(1+0) 32000 7 6 0.005756899344907196
(9+1)(1+0) 32000 7 7 0.006043615710340733
(9+1)(1+0) 32000 8 1 0.0
(9+1)(1+0) 32000 8 2 0.004053146558282705
(9+1)(1+0) 32000 8 3 0.005543636494743209
(9+1)(1+0) 32000 8 4 0.006397548543875087
(9+1)(1+0) 32000 8 5 0.006980814952003089
(9+1)(1+0) 32000 8 6 0.007417956799911085
(9+1)(1+0) 32000 8 7 0.007764833313077646
(9+1)(1+0) 32000 8 8 0.008050906701179361
(9+1)(1+0) 32000 9 1 0.0
(9+1)(1+0) 32000 9 2 0.0051812529819156294
(9+1)(1+0) 32000 9 3 0.007038846684992883
(9+1)(1+0) 32000 9 4 0.008080969110222602
(9+1)(1+0) 32000 9 5 0.008783611271117375
(9+1)(1+0) 32000 9 6 0.009305623116151018
(9+1)(1+0) 32000 9 7 0.009717219568001867
(9+1)(1+0) 32000 9 8 0.010055026275662904
(9+1)(1+0) 32000 9 9 0.010340359919828512
(9+1)(1+0) 32000 10 1 0.0
(9+1)(1+0) 32000 10 2 0.0064499349171541764
(9+1)(1+0) 32000 10 3 0.008723068476827689
(9+1)(1+0) 32000 10 4 0.009974166567969678
(9+1)(1+0) 32000 10 5 0.01080733769304465
(9+1)(1+0) 32000 10 6 0.011421106559199146
(9+1)(1+0) 32000 10 7 0.011902078221120549
(9+1)(1+0) 32000 10 8 0.012294968244564997
(9+1)(1+0) 32000 10 9 0.01262559277539943
(9+1)(1+0) 32000 10 10 0.012910090620718906
(9+1)(1+0) 32000 11 1 0.0
(9+1)(1+0) 32000 11 2 0.007855989959011156
(9+1)(1+0) 32000 11 3 0.01059490857308798
(9+1)(1+0) 32000 11 4 0.01207679236091086
(9+1)(1+0) 32000 11 5 0.013052122764953933
(9+1)(1+0) 32000 11 6 0.013764763716611839
(9+1)(1+0) 32000 11 7 0.014319877652509083
(9+1)(1+0) 32000 11 8 0.014771254038936421
(9+1)(1+0) 32000 11 9 0.015149714126906022
(9+1)(1+0) 32000 11 10 0.015474407241975463
(9+1)(1+0) 32000 11 11 0.015757974039064537
(9+1)(1+0) 32000 12 1 0.0
(9+1)(1+0) 32000 12 2 0.009396169175818092
(9+1)(1+0) 32000 12 3 0.012652361432137216
(9+1)(1+0) 32000 12 4 0.014387817527832802
(9+1)(1+0) 32000 12 5 0.015517413265213165
(9+1)(1+0) 32000 12 6 0.016336277073331518
(9+1)(1+0) 32000 12 7 0.016970420409087805
(9+1)(1+0) 32000 12 8 0.017483746796016275
(9+1)(1+0) 32000 12 9 0.01791261526197896
(9+1)(1+0) 32000 12 10 0.01827948435400395
(9+1)(1+0) 32000 12 11 0.018599106933071985
(9+1)(1+0) 32000 12 12 0.01888164833064654
(9+1)(1+0) 32000 13 1 0.0
(9+1)(1+0) 32000 13 2 0.011067217882649194
(9+1)(1+0) 32000 13 3 0.014892972090170709
(9+1)(1+0) 32000 13 4 0.016905673901671858
(9+1)(1+0) 32000 13 5 0.01820210426752944
