config total_drives failed_disks affected_racks dl_prob
(1+0)(8+2) 32000 1 1 0.0
(1+0)(8+2) 32000 2 1 0.0
(1+0)(8+2) 32000 2 2 0.0
(1+0)(8+2) 32000 3 1 0.00011292310877319967
(1+0)(8+2) 32000 3 2 0.0
(1+0)(8+2) 32000 3 3 0.0
(1+0)(8+2) 32000 4 1 0.0004487170457775358
(1+0)(8+2) 32000 4 2 6.449285439324992e-05
(1+0)(8+2) 32000 4 3 0.0
(1+0)(8+2) 32000 4 4 0.0
(1+0)(8+2) 32000 5 1 0.001114398996270971
(1+0)(8+2) 32000 5 2 0.00022466747945892873
(1+0)(8+2) 32000 5 3 4.513530718808223e-05
(1+0)(8+2) 32000 5 4 0.0
(1+0)(8+2) 32000 5 5 0.0
(1+0)(8+2) 32000 6 1 0.0022139726447972796
(1+0)(8+2) 32000 6 2 0.0005051049682609499
(1+0)(8+2) 32000 6 3 0.00014991227900351678
(1+0)(8+2) 32000 6 4 3.471545441624535e-05
(1+0)(8+2) 32000 6 5 0.0
(1+0)(8+2) 32000 6 6 0.0
(1+0)(8+2) 32000 7 1 0.0038482291794245116
(1+0)(8+2) 32000 7 2 0.0009282304727074031
(1+0)(8+2) 32000 7 3 0.0003257670973845217
(1+0)(8+2) 32000 7 4 0.0001124991172587464
(1+0)(8+2) 32000 7 5 2.8204269421294725e-05
(1+0)(8+2) 32000 7 6 0.0
(1+0)(8+2) 32000 7 7 0.0
(1+0)(8+2) 32000 8 1 0.006114443461486263
(1+0)(8+2) 32000 8 2 0.00151666267169015
(1+0)(8+2) 32000 8 3 0.000582884849026799
(1+0)(8+2) 32000 8 4 0.00024009667099045284
(1+0)(8+2) 32000 8 5 9.003514219763087e-05
(1+0)(8+2) 32000 8 6 2.3749790024618633e-05
(1+0)(8+2) 32000 8 7 0.0
(1+0)(8+2) 32000 8 8 0.0
(1+0)(8+2) 32000 9 1 0.009105976381043934
(1+0)(8+2) 32000 9 2 0.002293931546073824
(1+0)(8+2) 32000 9 3 0.000931075321981889
(1+0)(8+2) 32000 9 4 0.00042347748567495014
(1+0)(8+2) 32000 9 5 0.00018997852113722402
(1+0)(8+2) 32000 9 6 7.505106237526427e-05
(1+0)(8+2) 32000 9 7 2.0510445157828627e-05
(1+0)(8+2) 32000 9 8 0.0
(1+0)(8+2) 32000 9 9 0.0
(1+0)(8+2) 32000 10 1 0.01291179458631464
(1+0)(8+2) 32000 10 2 0.0032843235224934153
(1+0)(8+2) 32000 10 3 0.00138015125135027
(1+0)(8+2) 32000 10 4 0.0006682570250614583
(1+0)(8+2) 32000 10 5 0.0003320106420436897
(1+0)(8+2) 32000 10 6 0.0001571144349500342
(1+0)(8+2) 32000 10 7 6.434366955254678e-05
(1+0)(8+2) 32000 10 8 1.8048698773420746e-05
(1+0)(8+2) 32000 10 9 0.0
(1+0)(8+2) 32000 10 10 0.0
(1+0)(8+2) 32000 11 1 0.01761591921383665
(1+0)(8+2) 32000 11 2 0.004512437367398037
(1+0)(8+2) 32000 11 3 0.0019400741160255919
(1+0)(8+2) 32000 11 4 0.0009799122039065855
(1+0)(8+2) 32000 11 5 0.0005198311739246231
(1+0)(8+2) 32000 11 6 0.0002727997291118722
(1+0)(8+2) 32000 11 7 0.0001339157599938856
(1+0)(8+2) 32000 11 8 5.63104575049822e-05
(1+0)(8+2) 32000 11 9 1.6114563805569304e-05
(1+0)(8+2) 32000 11 10 0.0
(1+0)(8+2) 32000 11 11 0.0
(1+0)(8+2) 32000 12 1 0.023296815888556588
(1+0)(8+2) 32000 12 2 0.006002754019619694
(1+0)(8+2) 32000 12 3 0.0026209933856440326
(1+0)(8+2) 32000 12 4 0.0013638930696792118
(1+0)(8+2) 32000 12 5 0.0007569944760305036
(1+0)(8+2) 32000 12 6 0.00042475599020652677
(1+0)(8+2) 32000 12 7 0.0002313917579396252
