failed_disks affected_racks dl_prob
1 1 1.0
2 1 0.02372
2 2 0.97628
3 1 0.00057
3 2 0.07198
3 3 0.92745
4 1 1e-05
4 2 0.00442
4 3 0.13698
4 4 0.85859
5 1 0.0
5 2 0.00022
5 3 0.0139
5 4 0.21191
5 5 0.77397
6 1 0.0
6 2 1e-05
6 3 0.00129
6 4 0.03415
6 5 0.28961
6 6 0.67494
7 1 0.0
7 2 1e-05
7 3 0.00015
7 4 0.00474
7 5 0.06672
7 6 0.35468
7 7 0.5737
8 1 0.0
8 2 0.0
8 3 0.0
8 4 0.00056
8 5 0.01294
8 6 0.11178
8 7 0.39989
8 8 0.47483
9 1 0.0
9 2 0.0
9 3 1e-05
9 4 0.0001
9 5 0.00209
9 6 0.02866
9 7 0.16623
9 8 0.42209
9 9 0.38082
10 1 0.0
10 2 0.0
10 3 0.0
10 4 1e-05
10 5 0.00032
10 6 0.00603
10 7 0.05257
10 8 0.22275
10 9 0.4248
10 10 0.29352
11 1 0.0
11 2 0.0
11 3 0.0
11 4 0.0
11 5 0.0001
11 6 0.00116
11 7 0.01395
11 8 0.0884
11 9 0.27376
11 10 0.40029
11 11 0.22234
12 1 0.0
12 2 0.0
12 3 0.0
12 4 0.0
12 5 1e-05
12 6 0.00018
12 7 0.00341
12 8 0.02912
12 9 0.13152
12 10 0.31295
12 11 0.36208
12 12 0.16073
13 1 0.0
13 2 0.0
13 3 0.0
13 4 0.0
13 5 1e-05
13 6 4e-05
13 7 0.00076
13 8 0.00879
13 9 0.05363
13 10 0.18064
13 11 0.33313
13 12 0.31219
13 13 0.11081
14 1 0.0
14 2 0.0
14 3 0.0
14 4 0.0
14 5 0.0
14 6 0.0
14 7 0.00018
14 8 0.00204
14 9 0.01954
14 10 0.08566
14 11 0.22736
14 12 0.33356
14 13 0.25713
14 14 0.07453
15 1 0.0
15 2 0.0
15 3 0.0
15 4 0.0
15 5 0.0
15 6 0.0
15 7 2e-05
15 8 0.00045
15 9 0.00634
15 10 0.03552
15 11 0.12675
15 12 0.26623
15 13 0.3183
15 14 0.19714
15 15 0.04925
16 1 0.0
16 2 0.0
16 3 0.0
16 4 0.0
16 5 0.0
